celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,1.047645444,-0.349215148,1.047645444,0,1.141905961,1.858916681,1.858916681,0,0.945905303,0.945905303,0.945905303,0,0.22129527,0.686015337,0.686015337,0,1.598821755,1.598821755,1.598821755,0,1.042336877,1.042336877,1.042336877,0,0.5,0.5,1,0,-0.100979073,0.808105335,0.808105335,0,,,,,,,,,,,,
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,0.349215148,0.349215148,0.349215148,0,-0.292115478,0.424895241,0.424895241,0,-0.389490419,-1.05718828,-1.05718828,0,0.22129527,0.22129527,0.22129527,0,-1.378294616,-0.385922492,-0.385922492,0,-0.797081141,-1.716790151,-0.797081141,0,-1.5,-1.5,-2,0,-1.01006348,-1.01006348,-1.919420641,0,,,,,,,,,,,,
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,0.349215148,1.047645444,1.047645444,0,0.424895241,0.424895241,0.424895241,0,-0.389490419,0.278207442,-0.389490419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,-1.746075739,-1.746075739,-1.746075739,0,-1.009126198,-1.726136918,-1.726136918,0,-1.05718828,-2.392584002,-2.392584002,0,-1.637584997,-2.567025131,-2.567025131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,1.047645444,1.047645444,1.047645444,0,1.141905961,1.141905961,1.141905961,0,0.945905303,0.945905303,0.945905303,0,0.686015337,0.686015337,1.150735403,0,0.606449631,0.606449631,0.606449631,0,1.042336877,1.042336877,1.042336877,0,1,0.5,0.5,0,0.808105335,0.808105335,0.808105335,0,,,,,,,,,,,,
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,-1.746075739,-1.047645444,-1.746075739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,-0.991728929,-0.295408617,-0.295408617,0,-0.659380473,-0.659380473,-0.659380473,0,-0.654653671,0.327326835,-0.654653671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,-0.295408617,1.097232007,1.097232007,0,0.329690237,0.329690237,0.329690237,0,1.309307341,1.309307341,1.309307341,0,-0.24743583,-0.24743583,-0.24743583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,-0.295408617,-0.295408617,0.400911695,0,1.318760947,0.329690237,1.318760947,0,1.309307341,1.309307341,1.309307341,0,-0.24743583,-0.24743583,-0.24743583,0,0.784464541,0.784464541,0.784464541,0,0.900998198,-0.688998622,-0.688998622,0,0,0,0,0,-1.299867367,-0.185695338,-0.185695338,0,0,0,0,0,0,0,0,0,,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,0.400911695,0.400911695,0.400911695,0,2.307831657,1.318760947,2.307831657,0,0.327326835,-1.636634177,0.327326835,0,0.742307489,0.742307489,0.742307489,0,-1.274754878,-1.274754878,0.784464541,0,0.105999788,0.105999788,0.105999788,0,0.664211164,0,1.328422328,0,0.928476691,-1.299867367,-0.185695338,0,-1.414213562,0.707106781,0.707106781,0,0,0,0,0,,,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,1.793552319,1.097232007,1.793552319,0,-0.659380473,-1.648451183,0.329690237,0,0.327326835,-1.636634177,0.327326835,0,1.732050808,0.742307489,1.732050808,0,0.784464541,0.784464541,0.784464541,0,0.900998198,0.900998198,1.695996608,0,0.664211164,0,0.664211164,0,0.928476691,-0.185695338,2.04264872,0,0.707106781,-1.414213562,0.707106781,0,0.707106781,0.707106781,-1.414213562,0,,,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1.097232007,1.097232007,1.097232007,0,0.329690237,0.329690237,0.329690237,0,-0.654653671,-1.636634177,-1.636634177,0,-0.24743583,-0.24743583,-0.24743583,0,0.784464541,0.784464541,0.784464541,0,0.105999788,0.105999788,0.900998198,0,1.328422328,0.664211164,0,0,-1.299867367,-0.185695338,0.928476691,0,-1.414213562,0.707106781,0.707106781,0,0.707106781,-1.414213562,0.707106781,0,,,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,0.400911695,-0.991728929,-0.295408617,0,0.329690237,-0.659380473,-0.659380473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,0.400911695,0.400911695,1.097232007,0,-0.659380473,0.329690237,0.329690237,0,-0.654653671,-0.654653671,0.327326835,0,0.742307489,0.742307489,1.732050808,0,0.784464541,0.784464541,0.784464541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,-0.991728929,-0.991728929,-0.991728929,0,-0.659380473,-0.659380473,-0.659380473,0,0.327326835,1.309307341,0.327326835,0,-2.226922467,-1.237179148,-1.237179148,0,-1.274754878,-1.274754878,-1.274754878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,-0.991728929,-0.991728929,-0.295408617,0,-0.659380473,-1.648451183,-1.648451183,0,-0.654653671,-0.654653671,-0.654653671,0,-1.237179148,-1.237179148,-0.24743583,0,-1.274754878,-1.274754878,-1.274754878,0,-0.688998622,-1.483997032,-2.278995442,0,-1.992633492,-1.328422328,-1.992633492,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,-0.991728929,-1.688049241,-2.384369553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,-0.214731251,-1.100497661,-0.214731251,0,-0.477396038,-0.477396038,-0.477396038,0,-0.312347524,-1.483650738,-0.312347524,0,-0.668564384,-1.313251468,-1.313251468,0,-0.724285968,-0.724285968,-0.724285968,0,-0.951746772,-1.820732955,-1.820732955,0,-0.837403614,-0.837403614,-0.837403614,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,0.671035159,0.671035159,0.671035159,0,-0.477396038,0.647894622,-0.477396038,0,0.85895569,0.85895569,0.85895569,0,-0.023877299,1.265496869,0.620809785,0,0.362142984,0.362142984,0.362142984,0,-0.082760589,-0.082760589,-0.082760589,0,0.322078313,0.322078313,0.322078313,0,-0.301172123,-0.711861382,-0.301172123,0,-1.732050808,0.577350269,-1.732050808,0,0,0,0,0,,,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,-0.214731251,-1.100497661,-1.100497661,0,-1.602686698,-1.602686698,-1.602686698,0,-1.483650738,-2.654953952,-2.654953952,0,-0.668564384,-1.957938552,-1.313251468,0,-1.810714921,-1.267500445,-1.810714921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,0.671035159,1.556801569,1.556801569,0,1.773185283,1.773185283,1.773185283,0,-0.312347524,-0.312347524,-0.312347524,0,-0.023877299,-0.023877299,-0.023877299,0,0.90535746,1.448571937,0.90535746,0,0.786225594,0.786225594,1.655211777,0,1.095066265,0.708572289,1.095066265,0,0.520206394,0.109517136,0.520206394,0,0.577350269,0.577350269,0.577350269,0,0.282781615,-2.26263477,0.282781615,0,,,,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,0.671035159,0.671035159,0.671035159,0,0.647894622,1.773185283,1.773185283,0,-0.312347524,0.85895569,0.85895569,0,1.265496869,0.620809785,1.265496869,0,1.448571937,1.448571937,1.448571937,0,0.786225594,0.786225594,1.655211777,0,0.322078313,-0.064415663,0.708572289,0,1.341584912,0.520206394,1.341584912,0,0.577350269,-1.732050808,0.577350269,0,0.282781615,0.282781615,1.555871658,0,,,,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,-0.214731251,-0.214731251,0.671035159,0,-1.602686698,-0.477396038,-0.477396038,0,-0.312347524,-0.312347524,-0.312347524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,-0.214731251,-0.214731251,0.671035159,0,-0.477396038,-0.477396038,-0.477396038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,-0.214731251,-0.214731251,-0.214731251,0,0.647894622,0.647894622,0.647894622,0,0.85895569,0.85895569,0.85895569,0,-0.023877299,0.620809785,0.620809785,0,-0.181071492,-0.181071492,-0.181071492,0,-0.951746772,-0.082760589,-0.082760589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,-1.100497661,-1.98626407,-1.98626407,0,-0.477396038,-0.477396038,-0.477396038,0,-0.312347524,-0.312347524,-0.312347524,0,-0.023877299,-0.023877299,-0.023877299,0,-0.724285968,-0.724285968,-1.267500445,0,-0.951746772,-0.951746772,-0.951746772,0,-1.996885542,-1.610391566,-1.610391566,0,-1.533239899,-1.533239899,-1.943929158,0,0,0,0,0,0,0,0,0,,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,1.556801569,1.556801569,1.556801569,0,0.647894622,0.647894622,0.647894622,0,0.85895569,0.85895569,0.85895569,0,1.910183954,1.265496869,1.265496869,0,0.362142984,0.362142984,0.90535746,0,0.786225594,0.786225594,0.786225594,0,1.095066265,0.708572289,1.095066265,0,0.930895653,0.520206394,0.520206394,0,0.577350269,0.577350269,0.577350269,0,0.282781615,-0.989926578,0.282781615,0,,,,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,-1.100497661,-1.100497661,-1.100497661,0,-0.477396038,-0.477396038,-0.477396038,0,0.85895569,0.85895569,0.85895569,0,-0.668564384,-1.313251468,-1.313251468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,-0.142277598,-0.142277598,-0.142277598,0,-0.193847071,-0.193847071,-0.193847071,0,0.030875376,-0.895385906,0.030875376,0,0.387298335,0.387298335,0.387298335,0,-0.286012246,0.694601169,0.694601169,0,0.448879201,-0.598505602,-0.598505602,0,-0.5,-0.5,-0.5,0,-0.464990555,-0.464990555,-0.464990555,0,0,0,0,0,0,0,0,0,,,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,0.882121109,0.882121109,0.882121109,0,-0.193847071,-0.193847071,-0.193847071,0,0.957136658,0.957136658,0.957136658,0,-0.774596669,0.387298335,0.387298335,0,-0.286012246,0.694601169,0.694601169,0,-0.598505602,-1.645890405,-1.645890405,0,-2,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,1.906519817,0.882121109,1.906519817,0,1.633853888,0.720003408,1.633853888,0,0.957136658,0.957136658,0.957136658,0,1.549193338,1.549193338,1.549193338,0,0.694601169,0.694601169,1.675214585,0,0.448879201,-0.598505602,-0.598505602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,-0.142277598,-0.142277598,-0.142277598,0,-0.193847071,-0.193847071,-0.193847071,0,0.957136658,0.030875376,0.957136658,0,-0.774596669,1.549193338,0.387298335,0,-0.286012246,0.694601169,-0.286012246,0,0.448879201,0.448879201,0.448879201,0,-0.5,-0.5,2.5,0,-0.464990555,-0.464990555,-1.336847846,0,-0.774596669,0.774596669,-0.774596669,0,0,0,0,0,,,,
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,-1.166676306,-1.166676306,-1.166676306,0,-0.193847071,-0.193847071,-0.193847071,0,-0.895385906,-0.895385906,-0.895385906,0,-1.936491673,-0.774596669,-0.774596669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,-1.166676306,-2.191075014,-2.191075014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,-0.142277598,-0.142277598,-0.142277598,0,-0.193847071,-0.193847071,-0.193847071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,0.882121109,1.906519817,0.882121109,0,1.633853888,1.633853888,1.633853888,0,0.030875376,0.030875376,0.030875376,0,0.387298335,0.387298335,0.387298335,0,-0.286012246,-1.266625662,-0.286012246,0,0.448879201,1.496264004,0.448879201,0,1,-0.5,-0.5,0,1.278724026,1.278724026,1.278724026,0,0.774596669,0.774596669,0.774596669,0,0.219406368,0.614243059,1.009079751,0,,,,
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,0.882121109,0.882121109,0.882121109,0,-0.193847071,0.720003408,0.720003408,0,0.957136658,0.957136658,0.957136658,0,-0.774596669,0.387298335,0.387298335,0,1.675214585,0.694601169,1.675214585,0,1.496264004,1.496264004,1.496264004,0,1,1,1,0,0.406866736,1.278724026,1.278724026,0,0.774596669,0.774596669,0.774596669,0,0.614243059,0.614243059,1.009079751,0,,,,
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,-1.166676306,-0.142277598,-1.166676306,0,-2.021548031,-2.021548031,-2.021548031,0,-1.821647187,-1.821647187,-1.821647187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,-0.142277598,-0.142277598,-0.142277598,0,0.720003408,0.720003408,0.720003408,0,0.957136658,0.030875376,0.957136658,0,0.387298335,0.387298335,-0.774596669,0,-1.266625662,-1.266625662,-1.266625662,0,-0.598505602,-0.598505602,-1.645890405,0,1,-0.5,-0.5,0,-1.336847846,-0.464990555,-1.336847846,0,-0.774596669,-0.774596669,-2.323790008,0,-0.96522217,-1.557536439,-1.557536439,0,,,,
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,-0.142277598,-0.142277598,-0.142277598,0,-1.107697551,-1.107697551,-1.107697551,0,-1.821647187,-0.895385906,-0.895385906,0,-1.936491673,-0.774596669,-1.936491673,0,-1.266625662,-1.266625662,-1.266625662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,0.199116993,0.199116993,0.199116993,0,-0.100830226,-0.826807852,-0.100830226,0,0.43643578,0.43643578,1.527525232,0,0.577350269,-0.288675135,0.577350269,0,-1.237436867,-0.176776695,-0.176776695,0,0.448879201,0.448879201,0.448879201,0,-1.785687331,-1.785687331,-0.961523948,0,1.986366576,0.18057878,1.083472678,0,0.784464541,-0.39223227,0.784464541,0,-0.633750222,-2.263393651,-0.633750222,0,,,,
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,-0.59735098,-0.59735098,-0.59735098,0,-0.826807852,-1.552785478,-1.552785478,0,-0.654653671,-0.654653671,-0.654653671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,0.995584967,0.995584967,0.995584967,0,-0.100830226,-0.100830226,-0.100830226,0,0.43643578,1.527525232,1.527525232,0,-1.154700538,-1.154700538,-0.288675135,0,-1.237436867,-1.237436867,-1.237436867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,0.199116993,0.199116993,0.995584967,0,0.6251474,0.6251474,0.6251474,0,-0.654653671,-0.654653671,-0.654653671,0,-0.288675135,-0.288675135,-0.288675135,0,-1.237436867,-1.237436867,-0.176776695,0,-1.645890405,-1.645890405,-1.645890405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,0.199116993,0.199116993,0.199116993,0,0.6251474,0.6251474,0.6251474,0,0.43643578,0.43643578,0.43643578,0,0.577350269,1.443375673,0.577350269,0,-0.176776695,-0.176776695,-1.237436867,0,-0.598505602,-0.598505602,-0.598505602,0,-0.137360564,-0.137360564,-0.137360564,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,-0.59735098,-0.59735098,-0.59735098,0,-0.100830226,-0.100830226,-0.100830226,0,-1.745743122,-0.654653671,-1.745743122,0,-0.288675135,-0.288675135,-0.288675135,0,-0.176776695,-0.176776695,-0.176776695,0,0.448879201,-0.598505602,0.448879201,0,0.68680282,-0.137360564,-0.137360564,0,-0.722315119,-1.625209017,-0.722315119,0,-1.568929081,-0.39223227,-1.568929081,0,0,0,0,0,,,,
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,0.199116993,0.995584967,0.199116993,0,1.351125026,1.351125026,1.351125026,0,0.43643578,-0.654653671,0.43643578,0,1.443375673,0.577350269,1.443375673,0,0.883883476,0.883883476,0.883883476,0,-0.598505602,-0.598505602,-0.598505602,0,1.510966203,-0.137360564,1.510966203,0,0.18057878,-1.625209017,0.18057878,0,-0.39223227,0.784464541,-0.39223227,0,0.181071492,0.181071492,0.181071492,0,,,,
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,1.792052941,1.792052941,1.792052941,0,1.351125026,1.351125026,1.351125026,0,1.527525232,1.527525232,1.527525232,0,1.443375673,0.577350269,1.443375673,0,0.883883476,1.944543648,1.944543648,0,1.496264004,1.496264004,1.496264004,0,1.510966203,-0.961523948,1.510966203,0,-0.722315119,1.083472678,1.083472678,0,0.784464541,-0.39223227,1.961161351,0,0.995893206,0.995893206,0.995893206,0,,,,
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,-1.393818954,-1.393818954,-1.393818954,0,-1.552785478,-1.552785478,-1.552785478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,-1.393818954,-0.59735098,-1.393818954,0,-0.826807852,-0.826807852,-1.552785478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,-1.393818954,-1.393818954,-1.393818954,0,-0.826807852,-0.100830226,-0.826807852,0,-0.654653671,-0.654653671,-0.654653671,0,-2.020725942,-1.154700538,-2.020725942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,0.995584967,0.995584967,0.995584967,0,1.351125026,0.6251474,1.351125026,0,-0.654653671,-1.745743122,0.43643578,0,-0.288675135,-1.154700538,0.577350269,0,0.883883476,0.883883476,0.883883476,0,0.448879201,0.448879201,1.496264004,0,-0.137360564,-0.137360564,-0.137360564,0,0.18057878,-0.722315119,0.18057878,0,0,0,0,0,0,0,0,0,,,,
