celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm,avg_judge_score,std_judge_score,min_judge_score,max_judge_score,score_range,score_trend,score_improvement,avg_judge_disagreement,max_judge_disagreement,performance_consistency,n_weeks_with_scores,total_judge_scores,score_trend_r2
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,-1.746075739,-1.746075739,-1.746075739,0,-1.009126198,-1.726136918,-1.726136918,0,-1.05718828,-2.392584002,-2.392584002,0,-1.637584997,-2.567025131,-2.567025131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-1.859468233,0.527411629,-2.567025131,-1.009126198,1.557898933,-0.199372679,-0.511136014,0.263437089,0.594427245,0.325285615,4,12,0.626109543
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,1.047645444,1.047645444,1.047645444,0,1.141905961,1.141905961,1.141905961,0,0.945905303,0.945905303,0.945905303,0,0.686015337,0.686015337,1.150735403,0,0.606449631,0.606449631,0.606449631,0,1.042336877,1.042336877,1.042336877,0,1,0.5,0.5,0,0.808105335,0.808105335,0.808105335,0,,,,,,,,,,,,,0.887492155,0.215950479,0.5,1.150735403,0.650735403,-0.047597082,-0.239540109,0.019415197,0.083333333,0.190482202,8,24,0.374630477
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,-1.746075739,-1.047645444,-1.746075739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-1.513265641,0.403238919,-1.746075739,-1.047645444,0.698430295,0,0,0.162601626,0.162601626,0,1,3,0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,-0.991728929,-0.295408617,-0.295408617,0,-0.659380473,-0.659380473,-0.659380473,0,-0.654653671,0.327326835,-0.654653671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.504740899,0.376467451,-0.991728929,0.327326835,1.319055764,0.100094276,0.200188552,0.16101641,0.321428571,0.167194236,3,9,0.358406505
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,-0.295408617,1.097232007,1.097232007,0,0.329690237,0.329690237,0.329690237,0,1.309307341,1.309307341,1.309307341,0,-0.24743583,-0.24743583,-0.24743583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.506145053,0.679138906,-0.295408617,1.309307341,1.604715958,-0.166174578,-0.880454296,0.161620659,0.646482636,0.648122152,4,12,0.109563069
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,-0.295408617,-0.295408617,0.400911695,0,1.318760947,0.329690237,1.318760947,0,1.309307341,1.309307341,1.309307341,0,-0.24743583,-0.24743583,-0.24743583,0,0.784464541,0.784464541,0.784464541,0,0.900998198,-0.688998622,-0.688998622,0,0,0,0,0,-1.299867367,-0.185695338,-0.185695338,0,0,0,0,0,0,0,0,0,,,,,0.435517539,0.745258745,-0.688998622,1.318760947,2.007759569,-0.075687167,-0.095697836,0.221734041,0.842696629,0.672367541,6,18,0.044350556
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,0.400911695,0.400911695,0.400911695,0,2.307831657,1.318760947,2.307831657,0,0.327326835,-1.636634177,0.327326835,0,0.742307489,0.742307489,0.742307489,0,-1.274754878,-1.274754878,0.784464541,0,0.105999788,0.105999788,0.105999788,0,0.664211164,0,1.328422328,0,0.928476691,-1.299867367,-0.185695338,0,-1.414213562,0.707106781,0.707106781,0,0,0,0,0,,,,,0.321946267,1.027924329,-1.636634177,2.307831657,3.944465834,-0.10140296,-0.400911695,0.665247814,1.499999999,0.793194234,9,26,0.122575431
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,1.793552319,1.097232007,1.793552319,0,-0.659380473,-1.648451183,0.329690237,0,0.327326835,-1.636634177,0.327326835,0,1.732050808,0.742307489,1.732050808,0,0.784464541,0.784464541,0.784464541,0,0.900998198,0.900998198,1.695996608,0,0.664211164,0,0.664211164,0,0.928476691,-0.185695338,2.04264872,0,0.707106781,-1.414213562,0.707106781,0,0.707106781,0.707106781,-1.414213562,0,,,,,0.548133202,1.033833835,-1.648451183,2.04264872,3.691099903,-0.030245888,-1.561445548,0.720417989,1.499999999,0.758444127,10,29,0.014577966
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1.097232007,1.097232007,1.097232007,0,0.329690237,0.329690237,0.329690237,0,-0.654653671,-1.636634177,-1.636634177,0,-0.24743583,-0.24743583,-0.24743583,0,0.784464541,0.784464541,0.784464541,0,0.105999788,0.105999788,0.900998198,0,1.328422328,0.664211164,0,0,-1.299867367,-0.185695338,0.928476691,0,-1.414213562,0.707106781,0.707106781,0,0.707106781,-1.414213562,0.707106781,0,,,,,0.155602624,0.899952153,-1.636634177,1.328422328,2.965056505,-0.019679196,-1.097232007,0.499407027,1.499999999,0.709545407,10,29,0.007051244
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,0.400911695,-0.991728929,-0.295408617,0,0.329690237,-0.659380473,-0.659380473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.312549427,0.569852737,-0.991728929,0.400911695,1.392640624,-0.034281619,-0.034281619,0.405474467,0.484861977,0.024240766,2,6,1
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,0.400911695,0.400911695,1.097232007,0,-0.659380473,0.329690237,0.329690237,0,-0.654653671,-0.654653671,0.327326835,0,0.742307489,0.742307489,1.732050808,0,0.784464541,0.784464541,0.784464541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.43247562,0.669994953,-0.659380473,1.732050808,2.391431281,0.137511408,0.151446075,0.22713336,0.326530613,0.578300075,5,15,0.141354933
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,-0.991728929,-0.991728929,-0.991728929,0,-0.659380473,-0.659380473,-0.659380473,0,0.327326835,1.309307341,0.327326835,0,-2.226922467,-1.237179148,-1.237179148,0,-1.274754878,-1.274754878,-1.274754878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.767660839,0.855209195,-2.226922467,1.309307341,3.536229808,-0.147376501,-0.283025949,0.129591837,0.326530613,0.863299889,5,15,0.072857308
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,-0.991728929,-0.991728929,-0.295408617,0,-0.659380473,-1.648451183,-1.648451183,0,-0.654653671,-0.654653671,-0.654653671,0,-1.237179148,-1.237179148,-0.24743583,0,-1.274754878,-1.274754878,-1.274754878,0,-0.688998622,-1.483997032,-2.278995442,0,-1.992633492,-1.328422328,-1.992633492,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.167183309,0.555655545,-2.278995442,-0.24743583,2.031559612,-0.142335579,-1.011607612,0.227617075,0.632022472,0.407459791,7,21,0.569461295
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,-0.991728929,-1.688049241,-2.384369553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.688049241,0.696320312,-2.384369553,-0.991728929,1.392640624,0,0,0.484861977,0.484861977,0,1,3,0
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,-0.214731251,-1.100497661,-0.214731251,0,-0.477396038,-0.477396038,-0.477396038,0,-0.312347524,-1.483650738,-0.312347524,0,-0.668564384,-1.313251468,-1.313251468,0,-0.724285968,-0.724285968,-0.724285968,0,-0.951746772,-1.820732955,-1.820732955,0,-0.837403614,-0.837403614,-0.837403614,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.840182991,0.483167719,-1.820732955,-0.214731251,1.606001704,-0.111110873,-0.327416893,0.158442465,0.457317073,0.368994609,7,21,0.423135882
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,0.671035159,0.671035159,0.671035159,0,-0.477396038,0.647894622,-0.477396038,0,0.85895569,0.85895569,0.85895569,0,-0.023877299,1.265496869,0.620809785,0,0.362142984,0.362142984,0.362142984,0,-0.082760589,-0.082760589,-0.082760589,0,0.322078313,0.322078313,0.322078313,0,-0.301172123,-0.711861382,-0.301172123,0,-1.732050808,0.577350269,-1.732050808,0,0,0,0,0,,,,,0.138849244,0.724660794,-1.732050808,1.265496869,2.997547677,-0.155296262,-1.633285608,0.296857125,1.777777778,0.588431413,9,27,0.52238605
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,-0.214731251,-1.100497661,-1.100497661,0,-1.602686698,-1.602686698,-1.602686698,0,-1.483650738,-2.654953952,-2.654953952,0,-0.668564384,-1.957938552,-1.313251468,0,-1.810714921,-1.267500445,-1.810714921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.523068667,0.646191439,-2.654953952,-0.214731251,2.440222701,-0.135936725,-0.824401238,0.246565309,0.457317073,0.530741162,5,15,0.164001594
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,0.671035159,1.556801569,1.556801569,0,1.773185283,1.773185283,1.773185283,0,-0.312347524,-0.312347524,-0.312347524,0,-0.023877299,-0.023877299,-0.023877299,0,0.90535746,1.448571937,0.90535746,0,0.786225594,0.786225594,1.655211777,0,1.095066265,0.708572289,1.095066265,0,0.520206394,0.109517136,0.520206394,0,0.577350269,0.577350269,0.577350269,0,0.282781615,-2.26263477,0.282781615,0,,,,,0.622202784,0.848065352,-2.26263477,1.773185283,4.035820053,-0.111381162,-1.827236612,0.287732964,2.159714858,0.74790005,10,30,0.203304879
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,0.671035159,0.671035159,0.671035159,0,0.647894622,1.773185283,1.773185283,0,-0.312347524,0.85895569,0.85895569,0,1.265496869,0.620809785,1.265496869,0,1.448571937,1.448571937,1.448571937,0,0.786225594,0.786225594,1.655211777,0,0.322078313,-0.064415663,0.708572289,0,1.341584912,0.520206394,1.341584912,0,0.577350269,-1.732050808,0.577350269,0,0.282781615,0.282781615,1.555871658,0,,,,,0.801727087,0.717665552,-1.732050808,1.773185283,3.505236091,-0.062852607,0.036109804,0.396195859,1.777777778,0.509624202,10,30,0.139430549
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,-0.214731251,-0.214731251,0.671035159,0,-1.602686698,-0.477396038,-0.477396038,0,-0.312347524,-0.312347524,-0.312347524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.361438743,0.579209273,-1.602686698,0.671035159,2.273721857,-0.196435872,-0.392871743,0.227873467,0.422093023,0.468441788,3,9,0.175845127
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,-0.214731251,-0.214731251,0.671035159,0,-0.477396038,-0.477396038,-0.477396038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.19843591,0.444964555,-0.477396038,0.671035159,1.148431197,-0.557920257,-0.557920257,0.130763689,0.261527378,0.394509197,2,6,1
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,-0.214731251,-0.214731251,-0.214731251,0,0.647894622,0.647894622,0.647894622,0,0.85895569,0.85895569,0.85895569,0,-0.023877299,0.620809785,0.620809785,0,-0.181071492,-0.181071492,-0.181071492,0,-0.951746772,-0.082760589,-0.082760589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.190756502,0.528333764,-0.951746772,0.85895569,1.810702462,-0.106525627,-0.157691399,0.065042135,0.251712329,0.514121646,6,18,0.150260373
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,-1.100497661,-1.98626407,-1.98626407,0,-0.477396038,-0.477396038,-0.477396038,0,-0.312347524,-0.312347524,-0.312347524,0,-0.023877299,-0.023877299,-0.023877299,0,-0.724285968,-0.724285968,-1.267500445,0,-0.951746772,-0.951746772,-0.951746772,0,-1.996885542,-1.610391566,-1.610391566,0,-1.533239899,-1.533239899,-1.943929158,0,0,0,0,0,0,0,0,0,,,,,-0.971386613,0.674423408,-1.996885542,-0.023877299,1.973008243,-0.106698883,0.020872282,0.058237807,0.261527377,0.673642358,8,24,0.150526244
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,1.556801569,1.556801569,1.556801569,0,0.647894622,0.647894622,0.647894622,0,0.85895569,0.85895569,0.85895569,0,1.910183954,1.265496869,1.265496869,0,0.362142984,0.362142984,0.90535746,0,0.786225594,0.786225594,0.786225594,0,1.095066265,0.708572289,1.095066265,0,0.930895653,0.520206394,0.520206394,0,0.577350269,0.577350269,0.577350269,0,0.282781615,-0.989926578,0.282781615,0,,,,,0.793271809,0.52854676,-0.989926578,1.910183954,2.900110532,-0.109617217,-1.698256018,0.088284427,0.539928715,0.484416416,10,30,0.469387238
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,-1.100497661,-1.100497661,-1.100497661,0,-0.477396038,-0.477396038,-0.477396038,0,0.85895569,0.85895569,0.85895569,0,-0.668564384,-1.313251468,-1.313251468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.454323446,0.850119806,-1.313251468,0.85895569,2.172207158,0.134277739,0.002141888,0.03463512,0.138540479,0.923318867,4,12,0.035249533
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,-0.142277598,-0.142277598,-0.142277598,0,-0.193847071,-0.193847071,-0.193847071,0,0.030875376,-0.895385906,0.030875376,0,0.387298335,0.387298335,0.387298335,0,-0.286012246,0.694601169,0.694601169,0,0.448879201,-0.598505602,-0.598505602,0,-0.5,-0.5,-0.5,0,-0.464990555,-0.464990555,-0.464990555,0,0,0,0,0,0,0,0,0,,,,,-0.134167822,0.435309029,-0.895385906,0.694601169,1.589987075,-0.044331196,-0.322712957,0.121524065,0.365671642,0.339044584,8,24,0.102578544
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,0.882121109,0.882121109,0.882121109,0,-0.193847071,-0.193847071,-0.193847071,0,0.957136658,0.957136658,0.957136658,0,-0.774596669,0.387298335,0.387298335,0,-0.286012246,0.694601169,0.694601169,0,-0.598505602,-1.645890405,-1.645890405,0,-2,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.040517344,0.932305314,-2,0.957136658,2.957136658,-0.301485717,-1.882121109,0.269457981,0.75,0.869592888,7,21,0.560929535
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,1.906519817,0.882121109,1.906519817,0,1.633853888,0.720003408,1.633853888,0,0.957136658,0.957136658,0.957136658,0,1.549193338,1.549193338,1.549193338,0,0.694601169,0.694601169,1.675214585,0,0.448879201,-0.598505602,-0.598505602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.028785935,0.747208684,-0.598505602,1.906519817,2.505025419,-0.268668347,-1.814430915,0.219062945,0.365671642,0.676397248,6,18,0.552201254
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,-0.142277598,-0.142277598,-0.142277598,0,-0.193847071,-0.193847071,-0.193847071,0,0.957136658,0.030875376,0.957136658,0,-0.774596669,1.549193338,0.387298335,0,-0.286012246,0.694601169,-0.286012246,0,0.448879201,0.448879201,0.448879201,0,-0.5,-0.5,2.5,0,-0.464990555,-0.464990555,-1.336847846,0,-0.774596669,0.774596669,-0.774596669,0,0,0,0,0,,,,,0.075054013,0.809194481,-1.336847846,2.5,3.836847846,-0.039735964,-0.115921292,0.667766584,3,0.456658603,9,27,0.05678655
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,-1.166676306,-1.166676306,-1.166676306,0,-0.193847071,-0.193847071,-0.193847071,0,-0.895385906,-0.895385906,-0.895385906,0,-1.936491673,-0.774596669,-0.774596669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.854451072,0.503644808,-1.936491673,-0.193847071,1.742644602,-0.068719493,0.004781302,0.1125,0.45,0.458286546,4,12,0.037474377
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,-1.166676306,-2.191075014,-2.191075014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.849608778,0.59143687,-2.191075014,-1.166676306,1.024398708,0,0,0.349797571,0.349797571,0,1,3,0
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,-0.142277598,-0.142277598,-0.142277598,0,-0.193847071,-0.193847071,-0.193847071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.168062335,0.028245764,-0.193847071,-0.142277598,0.051569473,-0.051569473,-0.051569473,0,0,0.036465124,2,6,1
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,0.882121109,1.906519817,0.882121109,0,1.633853888,1.633853888,1.633853888,0,0.030875376,0.030875376,0.030875376,0,0.387298335,0.387298335,0.387298335,0,-0.286012246,-1.266625662,-0.286012246,0,0.448879201,1.496264004,0.448879201,0,1,-0.5,-0.5,0,1.278724026,1.278724026,1.278724026,0,0.774596669,0.774596669,0.774596669,0,0.219406368,0.614243059,1.009079751,0,,,,,0.612830278,0.753025592,-1.266625662,1.906519817,3.173145479,-0.030367636,-0.609344286,0.194189945,0.75,0.682060599,10,30,0.018171363
