celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm,avg_judge_score,std_judge_score,min_judge_score,max_judge_score,score_range,score_trend,score_improvement,avg_judge_disagreement,max_judge_disagreement,performance_consistency,n_weeks_with_scores,total_judge_scores,score_trend_r2
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,1.047645444,-0.349215148,1.047645444,0.0,1.141905961,1.858916681,1.858916681,0.0,0.945905303,0.945905303,0.945905303,0.0,0.22129527,0.686015337,0.686015337,0.0,1.598821755,1.598821755,1.598821755,0.0,1.042336877,1.042336877,1.042336877,0.0,0.5,0.5,1.0,0.0,-0.100979073,0.808105335,0.808105335,0.0,,,,,,,,,,,,,0.936481850375,0.5478408075130091,-0.349215148,1.858916681,2.208131829,-0.04699834178174604,-0.07694804766666674,0.156571795317446,0.6504065044941969,0.4576248689119622,8,24,0.06328446104745339
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,0.349215148,0.349215148,0.349215148,0.0,-0.292115478,0.424895241,0.424895241,0.0,-0.389490419,-1.05718828,-1.05718828,0.0,0.22129527,0.22129527,0.22129527,0.0,-1.378294616,-0.385922492,-0.385922492,0.0,-0.797081141,-1.716790151,-0.797081141,0.0,-1.5,-1.5,-2.0,0.0,-1.01006348,-1.01006348,-1.919420641,0.0,,,,,,,,,,,,,-0.6098041814583334,0.8092333180535012,-2.0,0.424895241,2.4248952409999998,-0.26957939725,-1.6623976816666668,0.161146764440596,0.3282674774974238,0.7710042529390355,8,24,0.7335185461276724
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,0.349215148,1.047645444,1.047645444,0.0,0.424895241,0.424895241,0.424895241,0.0,-0.389490419,0.278207442,-0.389490419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.3576020403333333,0.510951691729344,-0.389490419,1.047645444,1.437135863,-0.49087990533333326,-0.9817598106666666,0.10373614577273589,0.16260162612354923,0.49432718173496737,3,9,0.9861012849853257
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,-1.746075739,-1.746075739,-1.746075739,0.0,-1.009126198,-1.726136918,-1.726136918,0.0,-1.05718828,-2.392584002,-2.392584002,0.0,-1.637584997,-2.567025131,-2.567025131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-1.8594682328333334,0.5274116294978215,-2.567025131,-1.009126198,1.557898933,-0.19937267920000004,-0.5111360140000001,0.2634370891350631,0.5944272447786337,0.32528561520685456,4,12,0.6261095426825748
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,1.047645444,1.047645444,1.047645444,0.0,1.141905961,1.141905961,1.141905961,0.0,0.945905303,0.945905303,0.945905303,0.0,0.686015337,0.686015337,1.150735403,0.0,0.606449631,0.606449631,0.606449631,0.0,1.042336877,1.042336877,1.042336877,0.0,1.0,0.5,0.5,0.0,0.808105335,0.808105335,0.808105335,0.0,,,,,,,,,,,,,0.8874921554166667,0.21595047896223116,0.5,1.150735403,0.6507354030000001,-0.04759708223015873,-0.239540109,0.019415197489293518,0.08333333333333333,0.1904822020861911,8,24,0.3746304771522918
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,-1.746075739,-1.047645444,-1.746075739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-1.5132656406666667,0.40323891882843965,-1.746075739,-1.047645444,0.6984302949999999,0.0,0.0,0.16260162565792893,0.16260162565792893,0.0,1,3,0.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,-0.991728929,-0.295408617,-0.295408617,0.0,-0.659380473,-0.659380473,-0.659380473,0.0,-0.654653671,0.327326835,-0.654653671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.5047408987777778,0.37646745142508387,-0.991728929,0.327326835,1.319055764,0.10009427599999994,0.2001885519999999,0.1610164101186437,0.32142857138800535,0.16719423591944432,3,9,0.3584065049612018
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,-0.295408617,1.097232007,1.097232007,0.0,0.329690237,0.329690237,0.329690237,0.0,1.309307341,1.309307341,1.309307341,0.0,-0.24743583,-0.24743583,-0.24743583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5061450534166668,0.6791389060489232,-0.295408617,1.309307341,1.6047159579999999,-0.1661745783,-0.8804542956666666,0.16162065896792577,0.6464826358717031,0.6481221523292593,4,12,0.10956306906987195
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,-0.295408617,-0.295408617,0.400911695,0.0,1.318760947,0.329690237,1.318760947,0.0,1.309307341,1.309307341,1.309307341,0.0,-0.24743583,-0.24743583,-0.24743583,0.0,0.784464541,0.784464541,0.784464541,0.0,0.900998198,-0.688998622,-0.688998622,0.0,0.0,0.0,0.0,0.0,-1.299867367,-0.185695338,-0.185695338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.435517539,0.7452587447650441,-0.688998622,1.318760947,2.007759569,-0.07568716735238094,-0.09569783566666663,0.22173404077187744,0.8426966292033711,0.6723675410451512,6,18,0.04435055602506183
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,0.400911695,0.400911695,0.400911695,0.0,2.307831657,1.318760947,2.307831657,0.0,0.327326835,-1.636634177,0.327326835,0.0,0.742307489,0.742307489,0.742307489,0.0,-1.274754878,-1.274754878,0.784464541,0.0,0.105999788,0.105999788,0.105999788,0.0,0.664211164,0.0,1.328422328,0.0,0.928476691,-1.299867367,-0.185695338,0.0,-1.414213562,0.707106781,0.707106781,0.0,0.0,0.0,0.0,0.0,,,,,0.3219462666538462,1.0279243287427249,-1.636634177,2.307831657,3.944465834,-0.1014029598777778,-0.400911695,0.6652478139051698,1.499999999208546,0.7931942340466442,9,26,0.1225754313303419
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,1.793552319,1.097232007,1.793552319,0.0,-0.659380473,-1.648451183,0.329690237,0.0,0.327326835,-1.636634177,0.327326835,0.0,1.732050808,0.742307489,1.732050808,0.0,0.784464541,0.784464541,0.784464541,0.0,0.900998198,0.900998198,1.695996608,0.0,0.664211164,0.0,0.664211164,0.0,0.928476691,-0.185695338,2.04264872,0.0,0.707106781,-1.414213562,0.707106781,0.0,0.707106781,0.707106781,-1.414213562,0.0,,,,,0.5481332017931034,1.0338338347398546,-1.648451183,2.04264872,3.6910999029999996,-0.030245887737373755,-1.5614455483333334,0.7204179892325475,1.499999999208546,0.7584441265120533,10,29,0.014577965763393527
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1.097232007,1.097232007,1.097232007,0.0,0.329690237,0.329690237,0.329690237,0.0,-0.654653671,-1.636634177,-1.636634177,0.0,-0.24743583,-0.24743583,-0.24743583,0.0,0.784464541,0.784464541,0.784464541,0.0,0.105999788,0.105999788,0.900998198,0.0,1.328422328,0.664211164,0.0,0.0,-1.299867367,-0.185695338,0.928476691,0.0,-1.414213562,0.707106781,0.707106781,0.0,0.707106781,-1.414213562,0.707106781,0.0,,,,,0.15560262386206897,0.8999521531357652,-1.636634177,1.328422328,2.9650565049999997,-0.0196791955070707,-1.097232007,0.4994070272503034,1.499999999208546,0.7095454074069525,10,29,0.007051243834723557
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,0.400911695,-0.991728929,-0.295408617,0.0,0.329690237,-0.659380473,-0.659380473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.3125494266666667,0.5698527372687902,-0.991728929,0.400911695,1.392640624,-0.034281619333333346,-0.034281619333333346,0.4054744666818727,0.48486197690377736,0.024240765500655858,2,6,1.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,0.400911695,0.400911695,1.097232007,0.0,-0.659380473,0.329690237,0.329690237,0.0,-0.654653671,-0.654653671,0.327326835,0.0,0.742307489,0.742307489,1.732050808,0.0,0.784464541,0.784464541,0.784464541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.43247562,0.6699949529174017,-0.659380473,1.732050808,2.391431281,0.1375114079,0.1514460753333332,0.2271333598635222,0.326530612501712,0.5783000748207238,5,15,0.14135493292523327
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,-0.991728929,-0.991728929,-0.991728929,0.0,-0.659380473,-0.659380473,-0.659380473,0.0,0.327326835,1.309307341,0.327326835,0.0,-2.226922467,-1.237179148,-1.237179148,0.0,-1.274754878,-1.274754878,-1.274754878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.7676608394666665,0.8552091953811254,-2.226922467,1.309307341,3.536229808,-0.14737650126666663,-0.2830259489999999,0.12959183677794345,0.32653061250171195,0.8632998891039455,5,15,0.07285730836379702
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,-0.991728929,-0.991728929,-0.295408617,0.0,-0.659380473,-1.648451183,-1.648451183,0.0,-0.654653671,-0.654653671,-0.654653671,0.0,-1.237179148,-1.237179148,-0.24743583,0.0,-1.274754878,-1.274754878,-1.274754878,0.0,-0.688998622,-1.483997032,-2.278995442,0.0,-1.992633492,-1.328422328,-1.992633492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.1671833092857142,0.5556555453847606,-2.278995442,-0.24743583,2.0315596119999997,-0.1423355791190476,-1.011607612333333,0.22761707466186423,0.632022471902528,0.40745979059088455,7,21,0.5694612945590377
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,-0.991728929,-1.688049241,-2.384369553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.6880492409999999,0.696320312,-2.384369553,-0.991728929,1.392640624,0.0,0.0,0.4848619769037773,0.4848619769037773,0.0,1,3,0.0
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,-0.214731251,-1.100497661,-0.214731251,0.0,-0.477396038,-0.477396038,-0.477396038,0.0,-0.312347524,-1.483650738,-0.312347524,0.0,-0.668564384,-1.313251468,-1.313251468,0.0,-0.724285968,-0.724285968,-0.724285968,0.0,-0.951746772,-1.820732955,-1.820732955,0.0,-0.837403614,-0.837403614,-0.837403614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.8401829909999999,0.4831677191734129,-1.820732955,-0.214731251,1.606001704,-0.11111087251190477,-0.3274168930000001,0.15844246546344523,0.45731707304224317,0.36899460855264277,7,21,0.42313588242139966
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,0.671035159,0.671035159,0.671035159,0.0,-0.477396038,0.647894622,-0.477396038,0.0,0.85895569,0.85895569,0.85895569,0.0,-0.023877299,1.265496869,0.620809785,0.0,0.362142984,0.362142984,0.362142984,0.0,-0.082760589,-0.082760589,-0.082760589,0.0,0.322078313,0.322078313,0.322078313,0.0,-0.301172123,-0.711861382,-0.301172123,0.0,-1.732050808,0.577350269,-1.732050808,0.0,0.0,0.0,0.0,0.0,,,,,0.13884924433333332,0.7246607940008604,-1.732050808,1.265496869,2.997547677,-0.15529626223333334,-1.6332856080000002,0.296857125193305,1.7777777781495867,0.5884314131631161,9,27,0.522386049885749
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,-0.214731251,-1.100497661,-1.100497661,0.0,-1.602686698,-1.602686698,-1.602686698,0.0,-1.483650738,-2.654953952,-2.654953952,0.0,-0.668564384,-1.957938552,-1.313251468,0.0,-1.810714921,-1.267500445,-1.810714921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.5230686666666666,0.6461914389799719,-2.654953952,-0.214731251,2.440222701,-0.1359367246,-0.824401238,0.2465653085317495,0.4573170730422434,0.5307411622781706,5,15,0.164001593966277
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,0.671035159,1.556801569,1.556801569,0.0,1.773185283,1.773185283,1.773185283,0.0,-0.312347524,-0.312347524,-0.312347524,0.0,-0.023877299,-0.023877299,-0.023877299,0.0,0.90535746,1.448571937,0.90535746,0.0,0.786225594,0.786225594,1.655211777,0.0,1.095066265,0.708572289,1.095066265,0.0,0.520206394,0.109517136,0.520206394,0.0,0.577350269,0.577350269,0.577350269,0.0,0.282781615,-2.26263477,0.282781615,0.0,,,,,0.6222027836333334,0.8480653518261457,-2.26263477,1.773185283,4.035820053,-0.11138116180000002,-1.8272366123333335,0.287732964016631,2.15971485767549,0.7479000504558303,10,30,0.2033048790875199
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,0.671035159,0.671035159,0.671035159,0.0,0.647894622,1.773185283,1.773185283,0.0,-0.312347524,0.85895569,0.85895569,0.0,1.265496869,0.620809785,1.265496869,0.0,1.448571937,1.448571937,1.448571937,0.0,0.786225594,0.786225594,1.655211777,0.0,0.322078313,-0.064415663,0.708572289,0.0,1.341584912,0.520206394,1.341584912,0.0,0.577350269,-1.732050808,0.577350269,0.0,0.282781615,0.282781615,1.555871658,0.0,,,,,0.8017270865000001,0.7176655524163449,-1.732050808,1.773185283,3.505236091,-0.06285260665656567,0.03610980366666672,0.3961958585233708,1.7777777781495867,0.5096242020736765,10,30,0.13943054904568403
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,-0.214731251,-0.214731251,0.671035159,0.0,-1.602686698,-0.477396038,-0.477396038,0.0,-0.312347524,-0.312347524,-0.312347524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.36143874322222225,0.5792092726723217,-1.602686698,0.671035159,2.273721857,-0.1964358715,-0.392871743,0.2278734669519471,0.42209302316107855,0.46844178768286626,3,9,0.17584512655076762
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,-0.214731251,-0.214731251,0.671035159,0.0,-0.477396038,-0.477396038,-0.477396038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.1984359095,0.44496455480092895,-0.477396038,0.671035159,1.148431197,-0.557920257,-0.557920257,0.13076368884738138,0.26152737769476275,0.3945091970860414,2,6,1.0
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,-0.214731251,-0.214731251,-0.214731251,0.0,0.647894622,0.647894622,0.647894622,0.0,0.85895569,0.85895569,0.85895569,0.0,-0.023877299,0.620809785,0.620809785,0.0,-0.181071492,-0.181071492,-0.181071492,0.0,-0.951746772,-0.082760589,-0.082760589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.19075650155555557,0.5283337638205232,-0.951746772,0.85895569,1.810702462,-0.10652562676190475,-0.157691399,0.06504213458451848,0.25171232874830324,0.514121646231882,6,18,0.15026037266601547
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,-1.100497661,-1.98626407,-1.98626407,0.0,-0.477396038,-0.477396038,-0.477396038,0.0,-0.312347524,-0.312347524,-0.312347524,0.0,-0.023877299,-0.023877299,-0.023877299,0.0,-0.724285968,-0.724285968,-1.267500445,0.0,-0.951746772,-0.951746772,-0.951746772,0.0,-1.996885542,-1.610391566,-1.610391566,0.0,-1.533239899,-1.533239899,-1.943929158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.9713866129583333,0.6744234081556398,-1.996885542,-0.023877299,1.973008243,-0.10669888333730158,0.02087228166666666,0.058237806678224854,0.26152737710425183,0.6736423582329476,8,24,0.15052624362069406
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,1.556801569,1.556801569,1.556801569,0.0,0.647894622,0.647894622,0.647894622,0.0,0.85895569,0.85895569,0.85895569,0.0,1.910183954,1.265496869,1.265496869,0.0,0.362142984,0.362142984,0.90535746,0.0,0.786225594,0.786225594,0.786225594,0.0,1.095066265,0.708572289,1.095066265,0.0,0.930895653,0.520206394,0.520206394,0.0,0.577350269,0.577350269,0.577350269,0.0,0.282781615,-0.989926578,0.282781615,0.0,,,,,0.7932718088000003,0.528546760400456,-0.989926578,1.910183954,2.9001105320000002,-0.10961721680404042,-1.6982560183333335,0.08828442699911115,0.5399287148431083,0.4844164156003123,10,30,0.4693872380911802
