celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,elimination_week,relative_progress,placement_percentile,eliminated_in_multi_week,n_eliminated_same_week,is_finalist,n_zero_eliminate_weeks_experienced,n_multi_eliminate_weeks_experienced,avg_judge_score,std_judge_score,max_judge_score,score_trend,score_improvement,avg_judge_disagreement,performance_consistency
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,7,0.7,0.5833,0,1,0,0,0,-0.040517344,0.932305314,0.957136658,-0.301485717,-1.882121109,0.269457981,0.869592888
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,6,0.6,0.5,0,1,0,0,0,1.028785935,0.747208684,1.906519817,-0.268668347,-1.814430915,0.219062945,0.676397248
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,9,0.9,0.75,0,1,0,0,0,0.075054013,0.809194481,2.5,-0.039735964,-0.115921292,0.667766584,0.456658603
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,4,0.4,0.3333,0,1,0,0,0,-0.854451072,0.503644808,-0.193847071,-0.068719493,0.004781302,0.1125,0.458286546
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,1,0.1,0.0833,0,1,0,0,0,-1.849608778,0.59143687,-1.166676306,0,0,0.349797571,0
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,2,0.2,0.1667,0,1,0,0,0,-0.168062335,0.028245764,-0.142277598,-0.051569473,-0.051569473,0,0.036465124
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,10,1,1,0,0,1,0,0,0.612830278,0.753025592,1.906519817,-0.030367636,-0.609344286,0.194189945,0.682060599
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,10,1,0.9167,0,0,1,0,0,0.860780869,0.513575647,1.675214585,0.027823274,-0.136265819,0.135425217,0.427764822
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,3,0.3,0.25,0,1,0,0,0,-1.556135096,0.628854806,-0.142277598,-0.498218558,-0.996437117,0.11659919,0.640842127
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,10,1,0.8333,0,0,1,0,0,-0.468547237,0.903545722,1,-0.201160232,-1.217820751,0.302198207,0.808095317
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,5,0.5,0.4167,0,1,0,0,0,-1.053986763,0.592406768,-0.142277598,-0.269019192,-1.124348064,0.147197331,0.535511251
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,10,1,0.8333,0,0,1,1,1,-0.034857521,0.950750247,1.986366576,-0.062074925,-1.376081691,0.358592342,0.839797332
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,3,0.3,0.25,0,1,0,1,1,-0.854265862,0.402207052,-0.59735098,-0.028651346,-0.057302691,0.05856039,0.39640084
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,5,0.5,0.4167,0,1,0,1,1,-0.008975756,1.042104768,1.527525232,-0.523123885,-2.233021834,0.129365079,1.076649977
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,6,0.6,0.5,0,1,0,1,1,-0.397224828,0.84571815,0.995584967,-0.420388506,-2.110496723,0.097742291,0.855809898
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,7,0.7,0.5833,0,1,0,1,1,0.122932761,0.592470169,1.443375673,-0.157982305,-0.336477557,0.089285714,0.566196767
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,9,0.9,0.75,0,1,0,1,1,-0.500949415,0.657068649,0.68680282,-0.027624857,-0.579345831,0.191354414,0.569387097
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,10,1,0.9167,0,0,1,1,1,0.404979401,0.802315986,1.510966203,-0.100254887,-0.283534826,0.33124345,0.667853063
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,10,1,1,0,0,1,1,1,1.186136198,0.72906409,1.961161351,-0.108244785,-0.796159735,0.513430776,0.436564172
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,2,0.2,0.1667,1,2,0,1,0,-1.473302216,0.087069551,-1.393818954,-0.158966524,-0.158966524,3.70E-32,0.112406307
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,2,0.2,0.0833,1,2,0,1,0,-1.098565012,0.394863375,-0.59735098,0.059529235,0.059529235,0.193567458,0.042093526
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,4,0.4,0.3333,0,1,0,1,1,-1.091334686,0.579902856,-0.100830226,-0.108453392,-0.338231853,0.106420293,0.56251402
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,8,0.8,0.6667,0,1,0,1,1,0.323191647,0.822360205,1.496264004,-0.101353797,-1.11597082,0.344196017,0.691692844
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,1,0.1,0.1538,1,2,0,0,0,-0.273926014,0.268169524,0.03572948,0,0,0.071914894,0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,6,0.6,0.5385,0,1,0,1,2,-1.285040854,0.703601653,0.524637303,-0.033453107,-0.926320188,0.157640676,0.659507481
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,7,0.7,0.6154,0,1,0,1,2,-0.089815395,0.458283725,0.524637303,-0.019998824,0.117752252,0.077260552,0.416255245
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,9,0.9,0.7692,0,1,0,1,2,-0.101599883,0.724239387,1.716857086,-0.158295952,-1.303226463,0.153517024,0.673123425
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,2,0.2,0.3077,1,2,0,0,1,0.397292563,0.314656865,0.964695961,-0.205840316,-0.205840316,0.10787234,0.145551083
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,8,0.8,0.6923,0,1,0,1,2,-0.123366961,0.661591892,0.801199973,-0.054566274,-0.826298895,0.125375807,0.61956879
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,10,1,0.9231,0,0,1,1,2,0.21551753,0.840283156,1.58113883,-0.140075102,-1.290041103,0.209937317,0.788670789
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,1,0.1,0.0769,1,2,0,0,0,-2.286686723,0,-2.286686723,0,0,0,0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,5,0.5,0.4615,0,1,0,1,2,0.189429365,0.826068264,1.429179202,-0.452295762,-1.689591176,0.29359264,0.742603331
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,10,1,0.8462,0,0,1,1,2,0.272446769,1.027537146,2.197401062,-0.022915022,-1.290041102,0.678349459,0.844148187
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,2,0.2,0.2308,1,2,0,0,1,-0.637396095,0.559572856,0.03572948,-0.726940162,-0.726940162,0.193236476,0.514024318
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,4,0.4,0.3846,0,1,0,1,2,-1.046815352,0.589052941,-0.32862039,-0.251283442,-1.071043832,0.16222299,0.52904874
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,10,1,1,0,0,1,1,2,1.221127622,0.694508494,2.333204769,-0.082925805,-0.314005679,0.191968827,0.602202397
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2,11,1,0.9231,0,0,1,1,1,0.968349351,0.686185544,1.906925178,-0.134417858,-1.742384611,0.191519747,0.601492166
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,3,0.2727,0.1538,0,1,0,1,0,-0.329196217,0.517467148,0.162221421,-0.376803582,-0.753607164,0.033930254,0.568418341
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,5,0.4545,0.3846,0,1,0,1,1,-0.132730607,0.596138205,0.66033818,-0.004664244,-0.469430126,0.157466086,0.532343073
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,7,0.6364,0.5385,0,1,0,1,1,-0.671514626,0.682835306,0.165900379,-0.156788842,-1.10043415,0.185601151,0.61132211
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,10,0.9091,0.7692,0,1,0,1,1,-0.642426673,0.839085787,0.855209319,-0.115109958,-0.178590027,0.160814033,0.798183195
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,11,1,1,0,0,1,1,1,0.718295748,0.520541952,1.518777813,-0.051783583,-0.11459728,0.205682151,0.371745353
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,4,0.3636,0.3077,1,2,0,1,0,-1.572097314,0.545287286,-0.628608007,-0.140945419,-0.08158446,0.138975173,0.489775355
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,2,0.1818,0.0769,0,1,0,1,0,-0.556428003,0.323276596,-0.198101454,-0.144360008,-0.144360008,0.122819768,0.102077941
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,8,0.7273,0.6154,0,1,0,1,1,0.071978346,0.384309276,0.66033818,-0.03956332,-0.632390525,0.129488773,0.251200251
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,9,0.8182,0.6923,0,1,0,1,1,0.603284214,0.643260035,2.065591118,-0.06898715,-0.988143214,0.310071469,0.464447873
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,8,6,0.5455,0.4615,0,1,0,1,1,-1.27162373,0.590465257,-0.198101454,-0.148175422,-1.119455666,0.246938811,0.444505043
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,4,0.3636,0.2308,1,2,0,1,0,-0.655116898,0.364183707,-0.198101454,-0.262334813,-0.828149728,0.04738918,0.346380339
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,11,1,0.8462,0,0,1,1,1,0.533553203,0.98247365,1.743880277,-0.198845037,-2.12705846,0.141791944,0.962093556
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,1,0.1,0.0625,1,2,0,0,0,-1.16910427,0.550166715,-0.618937555,0,0,0.302683414,0
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,3,0.3,0.3125,1,2,0,0,1,-0.618919216,0.317638901,-0.252141406,0,0,0.100894471,0
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,6,0.6,0.5,1,2,0,0,2,-0.213557338,0.853972771,1.741976681,-0.016549815,-0.708929342,0.146595057,0.833831092
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,7,0.7,0.6875,1,2,0,0,3,0.664766442,0,0.664766442,0,0,0,0
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,4,0.4,0.375,0,1,0,0,2,-0.820988388,0.355051605,-0.252141406,-0.11195296,-0.46981621,0.10180338,0.226760552
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,10,5,0.5,0.4375,0,1,0,0,2,0.297988632,0.317638901,0.664766442,0,0,0.100894471,0
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,8,6,0.6,0.5625,1,2,0,0,2,-0.605213573,0.777516007,0.97143673,-0.209940802,-1.259039722,0.308166102,0.637202784
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,7,7,0.7,0.625,1,2,0,0,3,-1.187574965,0.40387823,-0.515710623,0.019946534,0.41271035,0.17411821,0.229023252
Joanna Krupa,Derek Hough,Model,,Poland,30,9,4,9,0.9,0.8125,0,1,0,0,4,0.654797123,0.746025433,1.650273994,-0.026338335,-1.379644064,0.100835786,0.830313107
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,14,2,0.2,0.1875,0,1,0,0,1,-0.970624226,0.201571525,-0.618937555,0.030182279,0.030182279,0.050447236,0.021342094
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,13,3,0.3,0.25,1,2,0,0,1,-1.024863768,0.393791842,-0.431749658,-0.073813743,-0.147627487,0.19770916,0.09515002
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,15,1,0.1,0.125,1,2,0,0,0,-1.16910427,0.550166715,-0.618937555,0,0,0.302683414,0
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,5,8,0.8,0.75,0,1,0,0,4,0.413319361,0.945830747,1.911066172,-0.198405718,-1.850950224,0.13668684,0.93576335
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2,10,1,0.9375,0,0,1,0,4,1.120199822,0.847721736,2.374623118,-0.078783234,-0.541268262,0.457460774,0.658030638
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1,10,1,1,0,0,1,0,4,0.460684741,0.906775373,2.264519547,-0.139201415,0.043237727,0.136941588,0.884143737
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3,10,1,0.875,0,0,1,0,4,-0.196989004,0.752753255,1.214933157,-0.120564243,-2.413249994,0.141275868,0.709630606
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,9,4,0.4,0.2727,0,1,0,1,0,-0.639133877,0.571604352,0.223606798,0.005746448,-0.029906682,0.086169695,0.568104971
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,2,0.2,0.0909,0,1,0,1,0,-0.139162485,0.288512455,0.223606798,0.27832497,0.27832497,0.075,0.196805474
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,8,0.8,0.6364,0,1,0,1,0,-0.627725501,0.699246503,0.556649939,-0.221865201,-0.991165929,0.196151203,0.621339996
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,3,0.3,0.1818,0,1,0,1,0,-1.68002927,0.393057331,-1.113299879,-0.233991865,-0.467983729,0.142357715,0.252258541
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,9,0.9,0.7273,0,1,0,1,0,-0.404596819,0.707362874,1.110664955,-0.073765967,-1.127238887,0.203516607,0.624036564
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,10,1,0.9091,0,0,1,1,0,0.711151026,0.841208079,1.776604791,-0.150612895,-1.754720809,0.189262045,0.787308096
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,6,7,0.7,0.5455,0,1,0,1,0,0.207919273,0.57476173,1.391624848,-0.146200026,-0.983828768,0.239084826,0.425560634
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,10,1,1,0,0,1,1,0,1.28906004,0.677116398,2.382594605,-0.051039905,-0.493995409,0.484259087,0.365702274
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,10,1,0.8182,0,0,1,1,0,0.194435992,0.625384982,1.443003321,-0.100045037,-1.091183416,0.18348457,0.533069153
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,5,0.5,0.3636,0,1,0,1,0,-1.206322505,0.301171742,-0.27832497,-0.13867247,-0.611256747,0.058077919,0.239632126
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,6,0.6,0.4545,0,1,0,1,0,-0.138694882,0.590416269,0.556649939,-0.1949222,-1.419285766,0.097225518,0.563284836
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,1,0.1,0.0833,0,1,0,0,0,-1.134921428,0,-1.134921428,0,0,0,0
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,5,0.5,0.4167,0,1,0,0,0,-0.497137053,0.369863331,0.271964147,-0.083104182,-0.296633621,0.142169922,0.202789946
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,10,1,0.9167,0,0,1,0,0,0.120877537,0.896378432,1.47298313,-0.081195302,-1.354744806,0.614953119,0.613456089
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,10,1,1,0,0,1,0,0,0.978308462,0.571115807,2.033497449,-0.040777288,-0.272486982,0.08104403,0.540355191
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,6,7,0.7,0.5833,0,1,0,0,0,0.286266211,0.460781013,1.47298313,-0.132182076,-1.025134168,0.09354643,0.386479373
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,8,0.8,0.6667,0,1,0,0,0,-0.287847092,0.92212206,1.711909997,-0.16374956,-1.080590083,0.319970656,0.816342599
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,3,0.3,0.25,0,1,0,0,0,-1.08618212,0.379606611,-0.625517537,-0.181592983,-0.363185967,0,0.438331958
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,2,0.2,0.1667,0,1,0,0,0,-1.63281758,1.080483032,-0.265619909,-1.57532665,-1.57532665,0.528684208,1.113924157
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,9,0.9,0.75,0,1,0,0,0,0.976930432,0.49889423,1.827095338,0.046881709,-0.338061702,0.1390774,0.406356022
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,4,0.4,0.3333,0,1,0,0,0,-0.979603033,0.423758567,-0.401931252,-0.090899108,-0.255728441,0.110589622,0.348100813
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,6,0.6,0.5,0,1,0,0,0,0.621960239,0.625760709,1.790421033,-0.005557063,0.57314777,0.212070345,0.523574621
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,10,1,0.8333,0,0,1,0,0,-0.858238366,0.715962243,1.16944583,-0.124468279,-0.763347391,0.199000982,0.638578736
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,9,0.9,0.7273,0,1,0,1,0,-0.094194519,1.154764305,2.162273118,-0.287469573,-2.67915817,0.299009529,1.087893127
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,10,1,0.8182,0,0,1,1,0,0.666141744,0.777618698,1.805787796,0.084982812,-0.005534103,0.431418409,0.56963007
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,10,1,0.9091,0,0,1,1,0,-0.182823905,0.832308504,1.521217461,-0.152629326,-2.497606203,0.357580979,0.672196632
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1,10,1,1,0,0,1,1,0,0.764453501,0.548493088,2.162273118,-0.069691234,-0.005534103,0.249899281,0.340847294
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,4,0.4,0.2727,0,1,0,1,0,-0.670445735,0.466844499,-0.134534559,-0.009725398,-0.192443496,0.247059026,0.216258446
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,6,0.6,0.4545,0,1,0,1,0,0.054667655,1.01709488,1.573982006,-0.26857106,-1.618392141,0.355028683,0.942544418
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,8,5,0.5,0.3636,0,1,0,1,0,-0.100057418,0.870375363,1.883483823,-0.073341544,-0.683188286,0.257612066,0.818006986
