season_week,season,week,n,spearman_rho
7_8,7,8,5,0.8999999999999998
7_9,7,9,4,0.7999999999999999
7_10,7,10,3,0.5
8_1,8,1,13,0.21978021978021978
8_2,8,2,13,0.4505494505494505
8_3,8,3,12,0.7972027972027973
8_4,8,4,11,0.9545454545454546
8_5,8,5,9,0.9166666666666666
8_6,8,6,8,0.7142857142857144
8_7,8,7,7,0.9285714285714288
8_8,8,8,6,0.4285714285714286
8_9,8,9,5,0.7
8_10,8,10,4,0.7999999999999999
8_11,8,11,3,1.0
9_1,9,1,16,0.7617647058823529
9_2,9,2,14,0.6703296703296703
9_3,9,3,13,0.6868131868131868
9_4,9,4,11,0.6454545454545455
9_5,9,5,10,0.8424242424242423
9_6,9,6,9,0.9500000000000001
9_7,9,7,7,0.8214285714285715
9_8,9,8,5,0.6
9_9,9,9,4,0.39999999999999997
9_10,9,10,3,1.0
10_1,10,1,11,0.7727272727272727
10_2,10,2,11,0.690909090909091
10_3,10,3,10,0.7696969696969697
10_4,10,4,9,0.7999999999999999
10_5,10,5,8,0.8333333333333335
10_6,10,6,7,0.9285714285714288
10_7,10,7,6,0.8857142857142858
10_8,10,8,5,0.9999999999999999
10_9,10,9,4,0.7999999999999999
10_10,10,10,3,1.0
11_1,11,1,12,0.5314685314685316
11_2,11,2,11,0.8545454545454546
11_3,11,3,10,0.6969696969696969
11_4,11,4,9,0.7833333333333333
11_5,11,5,8,0.5714285714285715
11_6,11,6,7,0.642857142857143
11_7,11,7,6,0.7142857142857143
11_8,11,8,5,0.49999999999999994
11_9,11,9,4,0.7999999999999999
11_10,11,10,3,1.0
12_1,12,1,11,0.8727272727272729
12_2,12,2,11,0.7545454545454545
12_3,12,3,10,0.709090909090909
12_4,12,4,9,0.5833333333333334
12_5,12,5,8,0.6904761904761906
12_6,12,6,7,0.7857142857142859
12_7,12,7,6,0.8285714285714287
12_8,12,8,5,0.8999999999999998
12_9,12,9,4,0.7999999999999999
12_10,12,10,3,1.0
13_1,13,1,12,0.6923076923076924
13_2,13,2,11,0.5727272727272729
13_3,13,3,10,0.7575757575757575
13_4,13,4,9,0.8166666666666667
13_5,13,5,8,0.7619047619047621
13_6,13,6,7,0.7500000000000002
13_7,13,7,6,0.942857142857143
13_8,13,8,5,0.8999999999999998
13_9,13,9,4,0.7999999999999999
13_10,13,10,3,0.5
14_1,14,1,12,0.5594405594405596
14_2,14,2,12,0.6293706293706295
14_3,14,3,11,0.6272727272727273
14_4,14,4,10,0.7696969696969697
14_5,14,5,9,0.7
14_6,14,6,8,0.8333333333333335
14_7,14,7,7,0.8571428571428573
14_8,14,8,6,0.8857142857142858
14_9,14,9,4,0.7999999999999999
14_10,14,10,3,-0.5
15_1,15,1,13,0.7692307692307693
15_2,15,2,12,0.8741258741258742
15_3,15,3,11,0.7727272727272727
15_4,15,4,9,0.8666666666666667
15_5,15,5,8,0.7380952380952381
15_6,15,6,8,0.6904761904761906
15_7,15,7,7,0.9642857142857145
15_8,15,8,7,0.6785714285714287
15_9,15,9,5,0.9999999999999999
15_10,15,10,3,0.5
16_1,16,1,12,0.7622377622377624
16_2,16,2,12,0.4825174825174825
16_3,16,3,11,0.8181818181818182
16_4,16,4,10,0.49090909090909085
16_5,16,5,9,0.9
16_6,16,6,8,0.9523809523809524
16_7,16,7,7,0.9642857142857145
16_8,16,8,6,1.0
16_9,16,9,5,0.39999999999999997
16_10,16,10,4,0.7999999999999999
17_1,17,1,12,0.7832167832167832
17_2,17,2,12,0.6923076923076924
17_3,17,3,11,0.6818181818181819
17_4,17,4,10,0.5272727272727272
17_5,17,5,9,0.43333333333333335
17_6,17,6,8,0.7857142857142858
17_7,17,7,8,0.9285714285714287
17_8,17,8,7,1.0
17_9,17,9,6,0.8285714285714287
17_10,17,10,5,0.7
17_11,17,11,4,1.0
18_1,18,1,12,0.8111888111888113
18_2,18,2,11,0.6363636363636364
18_3,18,3,9,0.7166666666666667
18_4,18,4,9,0.7999999999999999
18_5,18,5,9,0.7833333333333333
18_6,18,6,8,0.5952380952380953
18_7,18,7,7,0.8571428571428573
18_8,18,8,6,0.7714285714285715
18_9,18,9,5,0.8999999999999998
18_10,18,10,4,1.0
19_1,19,1,13,0.7142857142857143
19_2,19,2,12,0.5874125874125874
19_3,19,3,11,0.6545454545454547
19_4,19,4,10,0.6848484848484848
19_5,19,5,9,0.75
19_6,19,6,9,0.7333333333333334
19_7,19,7,8,0.7380952380952381
19_8,19,8,7,0.9642857142857145
19_9,19,9,6,0.942857142857143
19_10,19,10,5,0.7999999999999999
19_11,19,11,4,0.7999999999999999
20_1,20,1,12,0.8601398601398602
20_2,20,2,12,0.5804195804195805
20_3,20,3,11,0.881818181818182
20_4,20,4,10,0.6969696969696969
20_5,20,5,9,0.5333333333333333
20_6,20,6,8,0.5952380952380953
20_7,20,7,7,0.642857142857143
20_8,20,8,6,0.942857142857143
20_9,20,9,4,-0.7999999999999999
20_10,20,10,3,1.0
21_1,21,1,13,0.9505494505494506
21_2,21,2,13,0.8736263736263737
21_3,21,3,10,0.8666666666666665
21_4,21,4,10,0.8545454545454544
21_5,21,5,9,0.75
21_6,21,6,9,0.8333333333333333
21_7,21,7,8,0.28571428571428575
21_8,21,8,7,0.6071428571428572
21_9,21,9,6,0.8285714285714287
21_10,21,10,4,0.7999999999999999
21_11,21,11,4,0.7999999999999999
22_1,22,1,12,0.7482517482517484
22_2,22,2,12,0.7202797202797203
22_3,22,3,11,0.5181818181818182
22_4,22,4,10,0.6606060606060605
22_5,22,5,9,0.65
22_6,22,6,9,0.8499999999999999
22_7,22,7,8,0.7857142857142858
22_8,22,8,6,0.7142857142857143
22_9,22,9,5,0.8999999999999998
22_10,22,10,3,1.0
23_1,23,1,13,0.7802197802197801
23_2,23,2,13,0.7197802197802198
23_3,23,3,12,0.7482517482517484
23_4,23,4,11,0.5363636363636364
23_5,23,5,9,0.75
23_6,23,6,9,0.9166666666666666
23_7,23,7,8,0.880952380952381
23_8,23,8,7,0.8571428571428573
23_9,23,9,6,0.6571428571428573
23_10,23,10,5,0.7999999999999999
23_11,23,11,4,1.0
24_1,24,1,12,0.5034965034965035
24_2,24,2,12,0.6363636363636365
24_3,24,3,11,0.8545454545454546
24_4,24,4,10,0.5757575757575757
24_5,24,5,9,0.41666666666666663
24_6,24,6,8,0.7380952380952381
24_7,24,7,7,0.8214285714285715
24_8,24,8,5,0.8999999999999998
24_9,24,9,4,1.0
24_10,24,10,3,0.5
25_1,25,1,13,0.7967032967032966
25_2,25,2,13,0.5659340659340659
25_3,25,3,11,0.36363636363636365
25_4,25,4,11,0.6363636363636364
25_5,25,5,10,0.9636363636363635
25_6,25,6,9,0.7
25_7,25,7,8,0.880952380952381
25_8,25,8,6,0.8285714285714287
25_9,25,9,5,0.8999999999999998
25_10,25,10,4,0.7999999999999999
26_1,26,1,10,0.7454545454545454
26_2,26,2,8,0.5000000000000001
26_3,26,3,6,0.942857142857143
26_4,26,4,3,0.5
27_1,27,1,13,0.6813186813186813
27_2,27,2,12,0.6153846153846154
27_3,27,3,11,0.5909090909090909
27_4,27,4,10,0.6484848484848483
27_5,27,5,9,0.6833333333333333
27_6,27,6,9,0.8833333333333333
27_7,27,7,8,0.8333333333333335
27_8,27,8,6,0.7714285714285715
27_9,27,9,4,0.7999999999999999
28_1,28,1,12,0.34965034965034975
28_2,28,2,12,0.2377622377622378
28_3,28,3,10,0.19999999999999998
28_4,28,4,10,0.5272727272727272
28_5,28,5,9,0.5
28_6,28,6,9,0.31666666666666665
28_7,28,7,8,0.2142857142857143
28_8,28,8,7,0.39285714285714296
28_9,28,9,6,0.2571428571428572
28_10,28,10,5,0.7
28_11,28,11,4,0.19999999999999998
29_1,29,1,15,0.657142857142857
29_2,29,2,15,0.44999999999999996
29_3,29,3,14,0.2879120879120879
29_4,29,4,13,0.30769230769230765
29_5,29,5,12,0.7132867132867133
29_6,29,6,11,0.5
29_7,29,7,10,0.7212121212121211
29_8,29,8,8,0.3333333333333334
29_9,29,9,7,0.642857142857143
29_10,29,10,6,0.5428571428571429
29_11,29,11,4,0.19999999999999998
30_1,30,1,15,0.6357142857142856
30_2,30,2,15,0.4464285714285714
30_3,30,3,14,0.2571428571428571
30_4,30,4,13,0.6813186813186813
30_5,30,5,11,0.5363636363636364
30_6,30,6,10,0.7696969696969697
30_7,30,7,9,0.8333333333333333
30_8,30,8,8,0.7619047619047621
30_9,30,9,6,0.4285714285714286
30_10,30,10,4,0.7999999999999999
31_1,31,1,16,0.19117647058823528
31_2,31,2,15,0.32499999999999996
31_3,31,3,14,0.178021978021978
31_4,31,4,13,0.38461538461538464
31_5,31,5,12,0.3846153846153847
31_6,31,6,10,0.49090909090909085
31_7,31,7,9,0.2333333333333333
31_8,31,8,8,0.8095238095238096
31_9,31,9,6,0.942857142857143
31_10,31,10,4,0.7999999999999999
32_1,32,1,14,0.4021978021978022
32_2,32,2,13,0.16483516483516483
32_3,32,3,12,0.5314685314685316
32_4,32,4,11,0.3090909090909091
32_5,32,5,10,0.4666666666666666
32_6,32,6,9,0.5166666666666667
32_7,32,7,8,0.5000000000000001
32_8,32,8,7,0.21428571428571433
32_9,32,9,6,0.3714285714285715
32_10,32,10,5,0.6
32_11,32,11,5,0.49999999999999994
33_1,33,1,13,0.6703296703296703
33_2,33,2,13,0.532967032967033
33_3,33,3,11,0.7272727272727273
33_4,33,4,9,0.33333333333333337
33_5,33,5,8,0.3333333333333334
33_6,33,6,7,-0.28571428571428575
33_7,33,7,6,1.0
33_8,33,8,5,0.09999999999999999
33_9,33,9,5,0.7999999999999999
34_1,34,1,14,0.3230769230769231
34_2,34,2,14,0.5032967032967033
34_3,34,3,12,0.6783216783216784
34_4,34,4,11,0.17272727272727276
34_5,34,5,10,0.8060606060606059
34_6,34,6,10,0.3696969696969697
34_7,34,7,9,0.38333333333333336
34_8,34,8,8,0.6190476190476191
34_9,34,9,7,0.642857142857143
34_10,34,10,6,0.4285714285714286
34_11,34,11,5,0.19999999999999998
