season_week,season,week,tau,n
2_1,2,1,0.22222222222222224,10
2_2,2,2,0.4722222222222222,9
2_3,2,3,0.46428571428571425,8
2_4,2,4,0.47619047619047616,7
2_5,2,5,0.5333333333333333,6
2_6,2,6,0.5,5
2_7,2,7,0.5,4
2_8,2,8,0.0,3
30_10,30,10,0.0,4
30_2,30,2,0.5333333333333334,15
30_3,30,3,0.15384615384615385,14
30_4,30,4,0.3717948717948718,13
30_5,30,5,0.12727272727272726,11
30_6,30,6,0.5111111111111112,10
30_7,30,7,0.05555555555555555,9
30_8,30,8,0.14285714285714285,8
30_9,30,9,0.26666666666666666,6
31_1,31,1,0.65,16
31_10,31,10,0.0,4
31_2,31,2,0.7333333333333334,15
31_3,31,3,0.5164835164835165,14
31_4,31,4,0.4615384615384615,13
31_5,31,5,0.6363636363636364,12
31_6,31,6,0.5555555555555556,10
31_7,31,7,0.4444444444444444,9
31_8,31,8,0.5714285714285714,8
31_9,31,9,0.5333333333333333,6
32_1,32,1,0.45054945054945056,14
32_11,32,11,0.0,5
32_2,32,2,0.358974358974359,13
32_3,32,3,0.5454545454545454,12
32_4,32,4,0.34545454545454546,11
32_5,32,5,0.37777777777777777,10
32_6,32,6,0.2777777777777778,9
32_7,32,7,0.14285714285714285,8
32_8,32,8,0.42857142857142855,7
32_9,32,9,0.3333333333333333,6
33_2,33,2,0.6153846153846154,13
33_3,33,3,0.43636363636363634,11
33_4,33,4,0.38888888888888884,9
33_5,33,5,0.5714285714285714,8
33_6,33,6,-0.047619047619047616,7
33_7,33,7,0.3333333333333333,6
33_9,33,9,0.0,5
34_10,34,10,-0.06666666666666667,6
34_11,34,11,0.0,5
34_2,34,2,0.4175824175824176,14
34_3,34,3,0.30303030303030304,12
34_4,34,4,0.19999999999999998,11
34_6,34,6,0.33333333333333337,10
34_7,34,7,0.38888888888888884,9
34_8,34,8,0.2857142857142857,8
34_9,34,9,0.14285714285714285,7
3_1,3,1,0.6,11
3_10,3,10,0.0,2
3_2,3,2,0.4222222222222222,10
3_3,3,3,0.5555555555555556,9
3_4,3,4,0.6428571428571428,8
3_5,3,5,0.14285714285714285,7
3_7,3,7,0.7000000000000001,5
3_8,3,8,0.5,4
3_9,3,9,0.0,3
4_10,4,10,0.0,3
4_2,4,2,0.32727272727272727,11
4_3,4,3,0.5777777777777778,10
4_4,4,4,0.3611111111111111,9
4_5,4,5,0.75,8
4_6,4,6,0.7619047619047619,7
4_7,4,7,0.5333333333333333,6
4_8,4,8,0.7000000000000001,5
4_9,4,9,0.5,4
5_1,5,1,0.3484848484848485,12
5_10,5,10,0.0,3
5_2,5,2,0.39999999999999997,11
5_3,5,3,0.8,10
5_4,5,4,0.9166666666666666,9
5_5,5,5,-0.03571428571428571,8
5_6,5,6,0.38095238095238093,7
5_7,5,7,0.6666666666666666,6
5_8,5,8,0.7000000000000001,5
5_9,5,9,0.5,4
6_10,6,10,0.0,3
6_2,6,2,0.7272727272727273,12
6_3,6,3,0.4,10
6_4,6,4,0.8055555555555555,9
6_5,6,5,0.46428571428571425,8
6_6,6,6,0.38095238095238093,7
6_7,6,7,0.8,6
6_8,6,8,0.5,5
6_9,6,9,0.5,4
7_1,7,1,0.3717948717948718,13
7_10,7,10,0.0,3
7_2,7,2,0.5272727272727272,11
7_4,7,4,0.5833333333333333,9
7_5,7,5,0.8214285714285714,8
7_6,7,6,0.8571428571428571,7
7_7,7,7,0.6666666666666666,6
7_8,7,8,0.7000000000000001,5
7_9,7,9,0.5,4
8_10,8,10,0.5,4
8_11,8,11,0.0,3
8_2,8,2,0.15384615384615385,13
8_3,8,3,0.5757575757575758,12
8_4,8,4,0.7818181818181817,11
8_5,8,5,0.5277777777777778,9
8_6,8,6,0.6071428571428571,8
8_7,8,7,0.8571428571428571,7
8_8,8,8,0.5333333333333333,6
8_9,8,9,0.5,5
9_1,9,1,0.5083333333333333,16
9_10,9,10,0.0,3
9_2,9,2,0.1208791208791209,14
9_3,9,3,0.358974358974359,13
9_4,9,4,0.6545454545454545,11
9_5,9,5,0.5333333333333333,10
9_6,9,6,0.3611111111111111,9
9_7,9,7,0.7142857142857142,7
9_8,9,8,0.7000000000000001,5
9_9,9,9,0.5,4
