season,week,season_week,contestant_id,fanFavor,pct_fan_rank,pct_judge_rank
29,2,29_2,Nev Schulman_Jenna Johnson_29,-0.8571428571428571,0.0,0.8571428571428571
3,4,3_4,Willa Ford_Maksim Chmerkoskiy_3,-0.8571428571428571,0.0,0.8571428571428571
30,3,30_3,Amanda Kloots_Alan Bersten_30,-0.8461538461538461,0.1538461538461538,1.0
29,3,29_3,Johnny Weir_Britt Stewart_29,-0.8461538461538461,0.1538461538461538,1.0
32,1,32_1,Jason Mraz_Daniella Karagach_32,-0.8461538461538461,0.0,0.8461538461538461
34,1,34_1,Robert Irwin_Witney Carson (Xoshitl Gomez week 9)_34,-0.8461538461538461,0.1538461538461538,1.0
2,4,2_4,Drew Lachey_Cheryl Burke_2,-0.8333333333333334,0.1666666666666666,1.0
23,2,23_2,Babyface_Allison Holker_23,-0.8333333333333334,0.0,0.8333333333333334
28,8,28_8,James Van Der Beek_Emma Slater_28,-0.8333333333333334,0.1666666666666666,1.0
11,6,11_6,Audrina Patridge_Tony Dovolani_11,-0.8333333333333334,0.0,0.8333333333333334
8,2,8_2,Gilles Marini_Cheryl Burke_8,-0.8333333333333334,0.1666666666666666,1.0
32,8,32_8,Xochitl Gomez_Valentin Chmerkovskiy_32,-0.8333333333333334,0.0,0.8333333333333334
6,1,6_1,Priscilla Presley_Louis van Amstel_6,-0.8181818181818182,0.0,0.8181818181818182
28,2,28_2,Kate Flannery_Pasha Pashkov_28,-0.8181818181818181,0.0909090909090909,0.9090909090909092
32,3,32_3,Ariana Madix_Pasha Pashkov_32,-0.8181818181818181,0.1818181818181818,1.0
24,1,24_1,Simone Biles_Sasha Farber_24,-0.8181818181818181,0.1818181818181818,1.0
19,2,19_2,Lea Thompson_Artem Chigvintsev_19,-0.8181818181818181,0.1818181818181818,1.0
27,2,27_2,Juan Pablo Di Pace_Cheryl Burke_27,-0.8181818181818181,0.1818181818181818,1.0
34,3,34_3,Whitney Leavitt_Mark Ballas_34,-0.8181818181818181,0.0909090909090909,0.9090909090909092
32,3,32_3,Jason Mraz_Daniella Karagach_32,-0.8181818181818181,0.0909090909090909,0.9090909090909092
11,1,11_1,Jennifer Grey_Derek Hough_11,-0.8181818181818181,0.1818181818181818,1.0
22,8,22_8,Jodie Sweetin_Keo Motsepe_22,-0.8,0.0,0.8
4,2,4_2,Laila Ali_Maksim Chmerkoskiy_4,-0.8,0.2,1.0
23,4,23_4,Laurie Hernandez_Valentin Chmerkovskiy_23,-0.8,0.2,1.0
22,3,22_3,Nyle DiMarco_Peta Murgatroyd_22,-0.8,0.2,1.0
22,3,22_3,Wanya Morris_Lindsay Arnold_22,-0.8,0.1,0.9
1,1,1_1,John O'Hurley_Charlotte Jorgensen_1,-0.8,0.0,0.8
29,6,29_6,Justina Machado_Sasha Farber_29,-0.8,0.1,0.9
28,9,28_9,Kel Mitchell_Witney Carson_28,-0.8,0.0,0.8
18,2,18_2,Charlie White_Sharna Burgess_18,-0.8,0.2,1.0
13,2,13_2,Kristin Cavallari_Mark Ballas_13,-0.8,0.0,0.8
14,3,14_3,Katherine Jenkins_Mark Ballas_14,-0.8,0.2,1.0
14,8,14_8,Roshon Fegan_Chelsie Hightower_14,-0.8,0.0,0.8
32,9,32_9,Xochitl Gomez_Valentin Chmerkovskiy_32,-0.8,0.0,0.8
29,10,29_10,Nev Schulman_Jenna Johnson_29,-0.8,0.0,0.8
8,8,8_8,Lil' Kim_Derek Hough_8,-0.8,0.2,1.0
34,4,34_4,Whitney Leavitt_Mark Ballas_34,-0.8,0.2,1.0
12,1,12_1,Ralph Macchio_Karina Smirnoff_12,-0.8,0.2,1.0
18,8,18_8,Charlie White_Sharna Burgess_18,-0.8,0.0,0.8
34,10,34_10,Robert Irwin_Witney Carson (Xoshitl Gomez week 9)_34,-0.8,0.2,1.0
12,1,12_1,Kirstie Alley_Maksim Chmerkoskiy_12,-0.8,0.1,0.9
2,5,2_5,Stacy Keibler_Tony Dovolani_2,-0.8,0.2,1.0
29,1,29_1,Skai Jackson_Alan Bersten_29,-0.7857142857142858,0.1428571428571428,0.9285714285714286
30,1,30_1,Amanda Kloots_Alan Bersten_30,-0.7857142857142858,0.1428571428571428,0.9285714285714286
29,2,29_2,Justina Machado_Sasha Farber_29,-0.7857142857142858,0.1428571428571428,0.9285714285714286
30,1,30_1,JoJo Siwa_Jenna Johnson_30,-0.7857142857142857,0.2142857142857142,1.0
30,1,30_1,Melanie C_Gleb Savchenko_30,-0.7857142857142857,0.0,0.7857142857142857
31,2,31_2,Wayne Brady_Witney Carson_31,-0.7857142857142857,0.0714285714285714,0.8571428571428571
3,2,3_2,Joey Lawrence_Edyta Sliwinska_3,-0.7777777777777778,0.2222222222222222,1.0
24,4,24_4,Rashad Jennings_Emma Slater_24,-0.7777777777777778,0.2222222222222222,1.0
22,4,22_4,Ginger Zee_Valentin Chmerkovskiy_22,-0.7777777777777778,0.2222222222222222,1.0
21,3,21_3,Alexa PenaVega_Mark Ballas_21,-0.7777777777777778,0.2222222222222222,1.0
27,4,27_4,Tinashe_Brandon Armstrong_27,-0.7777777777777778,0.0,0.7777777777777778
9,5,9_5,Donny Osmond_Kym Johnson_9,-0.7777777777777778,0.2222222222222222,1.0
10,3,10_3,Evan Lysacek_Anna Trebunskaya_10,-0.7777777777777778,0.2222222222222222,1.0
14,4,14_4,Donald Driver_Peta Murgatroyd_14,-0.7777777777777778,0.2222222222222222,1.0
19,4,19_4,Alfonso Ribeiro_Witney Carson_19,-0.7777777777777778,0.2222222222222222,1.0
16,4,16_4,Alexandra Raisman_Mark Ballas_16,-0.7777777777777778,0.2222222222222222,1.0
17,4,17_4,Amber Riley_Derek Hough_17,-0.7777777777777778,0.2222222222222222,1.0
19,4,19_4,Lea Thompson_Artem Chigvintsev_19,-0.7777777777777777,0.1111111111111111,0.8888888888888888
28,3,28_3,Kate Flannery_Pasha Pashkov_28,-0.7777777777777777,0.1111111111111111,0.8888888888888888
27,4,27_4,Mary Lou Retton_Sasha Farber_27,-0.7777777777777777,0.1111111111111111,0.8888888888888888
6,3,6_3,Priscilla Presley_Louis van Amstel_6,-0.7777777777777777,0.1111111111111111,0.8888888888888888
31,3,31_3,Gabby Windey_Valentin Chmerkovskiy_31,-0.7692307692307693,0.1538461538461538,0.9230769230769232
32,1,32_1,Ariana Madix_Pasha Pashkov_32,-0.7692307692307693,0.1538461538461538,0.9230769230769232
9,2,9_2,Debi Mazar_Maksim Chmerkoskiy_9,-0.7692307692307693,0.0,0.7692307692307693
30,3,30_3,Melora Hardin_Artem Chigvintsev_30,-0.7692307692307693,0.0,0.7692307692307693
34,1,34_1,Hilaria Baldwin_Gleb Savchenko_34,-0.7692307692307692,0.0769230769230769,0.8461538461538461
9,2,9_2,Aaron Carter_Karina Smirnoff_9,-0.7692307692307692,0.2307692307692307,1.0
4,4,4_4,Joey Fatone_Kym Johnson_4,-0.75,0.25,1.0
8,1,8_1,Gilles Marini_Cheryl Burke_8,-0.75,0.25,1.0
31,4,31_4,Gabby Windey_Valentin Chmerkovskiy_31,-0.75,0.1666666666666666,0.9166666666666666
11,4,11_4,Jennifer Grey_Derek Hough_11,-0.75,0.25,1.0
11,8,11_8,Brandy_Maksim Chmerkoskiy_11,-0.75,0.25,1.0
6,8,6_8,Cristian de la Fuente_Cheryl Burke_6,-0.75,0.25,1.0
33,9,33_9,Joey Graziadei_Jenna Johnson_33,-0.75,0.0,0.75
33,9,33_9,Chandler Kinney_Brandon Armstrong_33,-0.75,0.25,1.0
33,8,33_8,Joey Graziadei_Jenna Johnson_33,-0.75,0.0,0.75
33,8,33_8,Chandler Kinney_Brandon Armstrong_33,-0.75,0.25,1.0
12,8,12_8,Chelsea Kane_Mark Ballas_12,-0.75,0.25,1.0
33,1,33_1,Dwight Howard _Daniella Karagach_33,-0.75,0.1666666666666666,0.9166666666666666
6,4,6_4,Jason Taylor_Edyta Sliwinska_6,-0.75,0.25,1.0
32,6,32_6,Ariana Madix_Pasha Pashkov_32,-0.75,0.125,0.875
5,4,5_4,Sabrina Bryan_Mark Ballas_5,-0.75,0.25,1.0
8,5,8_5,Gilles Marini_Cheryl Burke_8,-0.75,0.25,1.0
32,11,32_11,Xochitl Gomez_Valentin Chmerkovskiy_32,-0.75,0.0,0.75
13,4,13_4,Ricki Lake_Derek Hough_13,-0.75,0.25,1.0
31,7,31_7,Charli D'Amelio_Mark Ballas_31,-0.75,0.25,1.0
8,9,8_9,Melissa Rycroft_Tony Dovolani_8,-0.75,0.25,1.0
13,8,13_8,J.R. Martinez_Karina Smirnoff_13,-0.75,0.25,1.0
31,7,31_7,Trevor Donovan_Emma Slater_31,-0.75,0.125,0.875
9,8,9_8,Mya_Dmitry Chaplin_9,-0.75,0.25,1.0
16,9,16_9,Alexandra Raisman_Mark Ballas_16,-0.75,0.25,1.0
27,6,27_6,Juan Pablo Di Pace_Cheryl Burke_27,-0.75,0.25,1.0
25,1,25_1,Vanessa Lachey_Maksim Chmerkoskiy_25,-0.75,0.0833333333333333,0.8333333333333334
23,1,23_1,James Hinchcliffe_Sharna Burgess_23,-0.75,0.25,1.0
23,10,23_10,Terra Jole_Sasha Farber_23,-0.75,0.0,0.75
28,6,28_6,James Van Der Beek_Emma Slater_28,-0.75,0.25,1.0
16,5,16_5,Zendaya_Valentin Chmerkovskiy_16,-0.75,0.25,1.0
28,6,28_6,Sailor Brinkley-Cook_Valentin Chmerkovskiy_28,-0.75,0.0,0.75
21,6,21_6,Andy Grammer_Allison Holker_21,-0.75,0.25,1.0
23,5,23_5,James Hinchcliffe_Sharna Burgess_23,-0.75,0.25,1.0
22,6,22_6,Wanya Morris_Lindsay Arnold_22,-0.75,0.25,1.0
24,5,24_5,Simone Biles_Sasha Farber_24,-0.75,0.125,0.875
20,5,20_5,Rumer Willis_Valentin Chmerkovskiy_20,-0.75,0.25,1.0
25,6,25_6,Lindsey Stirling_Mark Ballas_25,-0.75,0.25,1.0
18,5,18_5,Danica McKellar_Valentin Chmerkovskiy_18,-0.75,0.125,0.875
1,3,1_3,Rachel Hunter_Jonathan Roberts_1,-0.75,0.25,1.0
25,1,25_1,Lindsey Stirling_Mark Ballas_25,-0.75,0.1666666666666666,0.9166666666666666
19,6,19_6,Alfonso Ribeiro_Witney Carson_19,-0.75,0.25,1.0
2,2,2_2,Drew Lachey_Cheryl Burke_2,-0.75,0.125,0.875
27,1,27_1,DeMarcus Ware_Lindsay Arnold_27,-0.75,0.25,1.0
28,10,28_10,Kel Mitchell_Witney Carson_28,-0.75,0.0,0.75
31,1,31_1,Wayne Brady_Witney Carson_31,-0.7333333333333334,0.2,0.9333333333333332
31,1,31_1,Selma Blair_Sasha Farber_31,-0.7333333333333334,0.0666666666666666,0.8
9,1,9_1,Joanna Krupa_Derek Hough_9,-0.7333333333333334,0.2666666666666666,1.0
24,2,24_2,Rashad Jennings_Emma Slater_24,-0.7272727272727273,0.1818181818181818,0.9090909090909092
17,2,17_2,Christina Milian_Mark Ballas_17,-0.7272727272727273,0.1818181818181818,0.9090909090909092
23,3,23_3,Calvin Johnson Jr._Lindsay Arnold_23,-0.7272727272727273,0.2727272727272727,1.0
27,2,27_2,Tinashe_Brandon Armstrong_27,-0.7272727272727273,0.0909090909090909,0.8181818181818182
28,1,28_1,Hannah Brown_Alan Bersten_28,-0.7272727272727273,0.1818181818181818,0.9090909090909092
17,1,17_1,Amber Riley_Derek Hough_17,-0.7272727272727273,0.2727272727272727,1.0
22,2,22_2,Wanya Morris_Lindsay Arnold_22,-0.7272727272727273,0.1818181818181818,0.9090909090909092
22,1,22_1,Ginger Zee_Valentin Chmerkovskiy_22,-0.7272727272727273,0.2727272727272727,1.0
16,2,16_2,Kellie Pickler_Derek Hough_16,-0.7272727272727273,0.2727272727272727,1.0
5,1,5_1,Jane Seymour_Tony Dovolani_5,-0.7272727272727273,0.0909090909090909,0.8181818181818182
31,5,31_5,Selma Blair_Sasha Farber_31,-0.7272727272727273,0.0,0.7272727272727273
14,2,14_2,Katherine Jenkins_Mark Ballas_14,-0.7272727272727273,0.2727272727272727,1.0
31,5,31_5,Charli D'Amelio_Mark Ballas_31,-0.7272727272727273,0.2727272727272727,1.0
5,1,5_1,Sabrina Bryan_Mark Ballas_5,-0.7272727272727273,0.2727272727272727,1.0
18,1,18_1,Candace Cameron Bure_Mark Ballas_18,-0.7272727272727273,0.1818181818181818,0.9090909090909092
16,1,16_1,Zendaya_Valentin Chmerkovskiy_16,-0.7272727272727273,0.2727272727272727,1.0
16,1,16_1,Dorothy Hamill_Tristan MacManus_16,-0.7272727272727273,0.0909090909090909,0.8181818181818182
18,6,18_6,Meryl Davis_Maksim Chmerkoskiy_18,-0.7142857142857143,0.2857142857142857,1.0
30,2,30_2,JoJo Siwa_Jenna Johnson_30,-0.7142857142857143,0.2142857142857142,0.9285714285714286
5,5,5_5,Mel B_Maksim Chmerkoskiy_5,-0.7142857142857143,0.2857142857142857,1.0
3,4,3_4,Mario Lopez_Karina Smirnoff_3,-0.7142857142857143,0.2857142857142857,1.0
11,5,11_5,Brandy_Maksim Chmerkoskiy_11,-0.7142857142857143,0.2857142857142857,1.0
4,5,4_5,Apolo Anton Ohno_Julianne Hough_4,-0.7142857142857143,0.2857142857142857,1.0
6,5,6_5,Kristi Yamaguchi_Mark Ballas_6,-0.7142857142857143,0.2857142857142857,1.0
21,7,21_7,Bindi Irwin_Derek Hough_21,-0.7142857142857143,0.2857142857142857,1.0
2,3,2_3,Tia Carrere_Maksim Chmerkoskiy_2,-0.7142857142857143,0.0,0.7142857142857143
31,8,31_8,Charli D'Amelio_Mark Ballas_31,-0.7142857142857143,0.2857142857142857,1.0
13,5,13_5,J.R. Martinez_Karina Smirnoff_13,-0.7142857142857143,0.2857142857142857,1.0
30,8,30_8,Suni Lee_Sasha Farber_30,-0.7142857142857143,0.0,0.7142857142857143
32,7,32_7,Ariana Madix_Pasha Pashkov_32,-0.7142857142857143,0.2857142857142857,1.0
32,7,32_7,Lele Pons_Brandon Armstrong_32,-0.7142857142857143,0.0,0.7142857142857143
16,6,16_6,Kellie Pickler_Derek Hough_16,-0.7142857142857143,0.2857142857142857,1.0
26,2,26_2,Arike Ogunbowale_Gleb Savchenko_26,-0.7142857142857143,0.0,0.7142857142857143
28,7,28_7,Ally Brooke_Sasha Farber_28,-0.7142857142857143,0.2857142857142857,1.0
29,8,29_8,Justina Machado_Sasha Farber_29,-0.7142857142857143,0.0,0.7142857142857143
14,6,14_6,Jaleel White_Kym Johnson_14,-0.7142857142857142,0.1428571428571428,0.8571428571428571
33,5,33_5,Ilona Maher_Alan Bersten_33,-0.7142857142857142,0.1428571428571428,0.8571428571428571
34,8,34_8,Jordan Chiles_Ezra Sosa (Apolo Anton Ohno week 9)_34,-0.7142857142857142,0.1428571428571428,0.8571428571428571
3,1,3_1,Vivica A. Fox_Nick Kosovich_3,-0.7000000000000001,0.1,0.8
17,3,17_3,Christina Milian_Mark Ballas_17,-0.7,0.2,0.9
17,3,17_3,Brant Daugherty_Peta Murgatroyd_17,-0.7,0.3,1.0
11,2,11_2,Jennifer Grey_Derek Hough_11,-0.7,0.3,1.0
4,1,4_1,Joey Fatone_Kym Johnson_4,-0.7,0.3,1.0
25,4,25_4,Victoria Arlen_Valentin Chmerkovskiy_25,-0.7,0.2,0.9
32,4,32_4,Ariana Madix_Pasha Pashkov_32,-0.7,0.2,0.9
8,4,8_4,Gilles Marini_Cheryl Burke_8,-0.7,0.3,1.0
5,2,5_2,Sabrina Bryan_Mark Ballas_5,-0.7,0.2,0.9
10,2,10_2,Nicole Scherzinger_Derek Hough_10,-0.7,0.3,1.0
24,3,24_3,Heather Morris_Maksim Chmerkoskiy_24,-0.7,0.2,0.9
16,3,16_3,Jacoby Jones_Karina Smirnoff_16,-0.7,0.3,1.0
31,3,31_3,Charli D'Amelio_Mark Ballas_31,-0.6923076923076923,0.3076923076923077,1.0
30,3,30_3,JoJo Siwa_Jenna Johnson_30,-0.6923076923076923,0.2307692307692307,0.9230769230769232
31,3,31_3,Heidi D'Amelio_Artem Chigvintsev_31,-0.6923076923076923,0.0769230769230769,0.7692307692307693
1,4,1_4,Kelly Monaco_Alec Mazo_1,-0.6666666666666667,0.3333333333333333,1.0
6,3,6_3,Kristi Yamaguchi_Mark Ballas_6,-0.6666666666666667,0.3333333333333333,1.0
29,11,29_11,Justina Machado_Sasha Farber_29,-0.6666666666666667,0.3333333333333333,1.0
20,7,20_7,Nastia Liukin_Derek Hough_20,-0.6666666666666667,0.3333333333333333,1.0
7,9,7_9,Lance Bass_Lacey Schwimmer_7,-0.6666666666666667,0.3333333333333333,1.0
20,4,20_4,Willow Shields_Mark Ballas_20,-0.6666666666666667,0.3333333333333333,1.0
6,9,6_9,Kristi Yamaguchi_Mark Ballas_6,-0.6666666666666667,0.3333333333333333,1.0
20,7,20_7,Willow Shields_Mark Ballas_20,-0.6666666666666667,0.1666666666666666,0.8333333333333334
8,10,8_10,Gilles Marini_Cheryl Burke_8,-0.6666666666666667,0.3333333333333333,1.0
31,10,31_10,Charli D'Amelio_Mark Ballas_31,-0.6666666666666667,0.3333333333333333,1.0
29,9,29_9,Johnny Weir_Britt Stewart_29,-0.6666666666666667,0.3333333333333333,1.0
8,7,8_7,Melissa Rycroft_Tony Dovolani_8,-0.6666666666666667,0.3333333333333333,1.0
6,6,6_6,Kristi Yamaguchi_Mark Ballas_6,-0.6666666666666667,0.3333333333333333,1.0
17,4,17_4,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,-0.6666666666666667,0.1111111111111111,0.7777777777777778
33,6,33_6,Joey Graziadei_Jenna Johnson_33,-0.6666666666666667,0.1666666666666666,0.8333333333333334
21,10,21_10,Bindi Irwin_Derek Hough_21,-0.6666666666666667,0.3333333333333333,1.0
16,7,16_7,Alexandra Raisman_Mark Ballas_16,-0.6666666666666667,0.3333333333333333,1.0
25,2,25_2,Vanessa Lachey_Maksim Chmerkoskiy_25,-0.6666666666666667,0.1666666666666666,0.8333333333333334
25,2,25_2,Frankie Muniz_Witney Carson_25,-0.6666666666666667,0.3333333333333333,1.0
25,5,25_5,Jordan Fisher_Lindsay Arnold_25,-0.6666666666666667,0.3333333333333333,1.0
12,6,12_6,Chelsea Kane_Mark Ballas_12,-0.6666666666666667,0.3333333333333333,1.0
12,9,12_9,Chelsea Kane_Mark Ballas_12,-0.6666666666666667,0.3333333333333333,1.0
32,8,32_8,Ariana Madix_Pasha Pashkov_32,-0.6666666666666667,0.3333333333333333,1.0
32,5,32_5,Charity Lawson_Artem Chigvintsev_32,-0.6666666666666667,0.3333333333333333,1.0
34,5,34_5,Robert Irwin_Witney Carson (Xoshitl Gomez week 9)_34,-0.6666666666666667,0.1111111111111111,0.7777777777777778
5,6,5_6,Mel B_Maksim Chmerkoskiy_5,-0.6666666666666667,0.3333333333333333,1.0
27,4,27_4,Milo Manheim_Witney Carson_27,-0.6666666666666667,0.3333333333333333,1.0
34,9,34_9,Robert Irwin_Witney Carson (Xoshitl Gomez week 9)_34,-0.6666666666666667,0.1666666666666666,0.8333333333333334
13,3,13_3,Ricki Lake_Derek Hough_13,-0.6666666666666667,0.3333333333333333,1.0
28,11,28_11,Ally Brooke_Sasha Farber_28,-0.6666666666666667,0.3333333333333333,1.0
3,8,3_8,Mario Lopez_Karina Smirnoff_3,-0.6666666666666667,0.3333333333333333,1.0
21,8,21_8,Nick Carter_Sharna Burgess_21,-0.6666666666666667,0.3333333333333333,1.0
28,3,28_3,Ally Brooke_Sasha Farber_28,-0.6666666666666667,0.3333333333333333,1.0
28,4,28_4,Kel Mitchell_Witney Carson_28,-0.6666666666666667,0.1111111111111111,0.7777777777777778
31,4,31_4,Charli D'Amelio_Mark Ballas_31,-0.6666666666666667,0.3333333333333333,1.0
21,2,21_2,Tamar Braxton_Valentin Chmerkovskiy_21,-0.6666666666666667,0.3333333333333333,1.0
11,3,11_3,Audrina Patridge_Tony Dovolani_11,-0.6666666666666667,0.3333333333333333,1.0
19,1,19_1,Alfonso Ribeiro_Witney Carson_19,-0.6666666666666667,0.3333333333333333,1.0
